Dates,PNR
2018-06-20,1306200.0
2018-06-21,1310900.0
2018-06-25,2272700.0
2018-06-22,1590400.0
2018-06-26,1694500.0
2018-06-27,1412100.0
2018-06-28,1476900.0
2018-06-29,1493300.0
2018-07-02,1005000.0
2018-07-03,891400.0
2018-07-05,2117800.0
2018-07-16,887400.0
2018-09-18,1087200.0
2019-01-24,1225300.0
2019-09-05,885200.0
2018-11-21,1257900.0
2020-01-13,1188000.0
2020-04-01,890400.0
2020-06-19,1730100.0
2019-10-29,956400.0
2020-01-16,1310600.0
2020-06-22,1070100.0
2018-10-03,1783600.0
2018-07-31,2225000.0
2019-03-12,4403500.0
2019-02-08,5031600.0
2019-01-07,2731300.0
2018-12-06,1736900.0
2019-08-19,3140300.0
2019-07-18,1476200.0
2019-05-15,1665900.0
2019-09-20,1343600.0
2019-11-01,1455900.0
2020-04-07,1388300.0
2020-06-25,1401400.0
2020-06-16,1573600.0
2019-11-04,1296600.0
2020-01-22,1813200.0
2019-11-07,1914000.0
2020-04-13,2453900.0
2019-07-01,1651400.0
2019-05-30,1410000.0
2018-08-15,1558400.0
2018-10-18,999800.0
2019-03-27,1100700.0
2019-01-22,974800.0
2018-12-21,1000700.0
2019-09-03,934700.0
2018-11-19,971700.0
2019-08-02,857900.0
2020-01-28,1143800.0
2020-04-16,1149400.0
2019-11-13,1247300.0
2020-01-31,1854400.0
2018-12-04,1531600.0
2018-11-02,1345600.0
2019-07-16,1704800.0
2018-08-30,1828600.0
2018-10-01,1681500.0
2019-06-14,1079500.0
2019-05-13,1508500.0
2019-04-11,1441200.0
2019-02-06,2123800.0
2019-09-18,2050300.0
2020-02-03,1244500.0
2020-04-22,1796900.0
2019-11-19,925500.0
2020-02-06,1563700.0
2019-11-22,1440600.0
2019-03-25,1073400.0
2019-02-21,1213100.0
2018-12-19,816100.0
2018-07-12,1101900.0
2018-09-14,2084800.0
2018-08-13,1139700.0
2018-10-16,968600.0
2019-07-31,1118600.0
2019-05-28,1148100.0
2019-04-26,1365300.0
2020-04-28,2187500.0
2019-11-25,1545900.0
2020-02-12,1272000.0
2020-05-01,1401100.0
2020-05-04,1330700.0
2019-06-12,2279400.0
2019-04-09,1739400.0
2019-03-08,1866500.0
2019-02-04,5275400.0
2018-07-27,3142800.0
2018-08-28,2124700.0
2019-01-03,2236800.0
2019-08-15,1690500.0
2018-10-31,2334000.0
2019-09-16,2417100.0
2020-02-18,1566400.0
2020-05-07,1310800.0
2018-08-17,1575100.0
2019-12-04,1126200.0
2020-02-21,1011400.0
2018-12-17,1005800.0
2019-08-30,1430400.0
2018-11-15,1273700.0
2019-07-29,1067900.0
2019-06-27,922900.0
2019-04-24,1070900.0
2018-07-10,1464100.0
2018-09-12,1295300.0
2019-02-19,927700.0
2019-01-18,723200.0
2020-02-24,377400.0
2020-05-13,1150300.0
2019-12-10,1183300.0
2020-02-27,1344700.0
2019-12-13,1351300.0
2020-05-19,1712300.0
2019-03-06,3708400.0
2018-11-30,2172300.0
2019-08-13,3120200.0
2019-07-12,2255400.0
2019-06-10,2475400.0
2019-05-09,2043600.0
2018-07-25,1979000.0
2018-09-27,1176300.0
2018-10-29,1643500.0
2019-10-16,1406500.0
2019-12-16,1701500.0
2020-03-04,2008600.0
2020-05-22,2236000.0
2019-10-01,2526600.0
2019-12-19,679300.0
2018-09-10,1222400.0
2019-05-24,1098500.0
2018-08-09,887600.0
2019-04-22,809000.0
2019-03-21,1052000.0
2019-01-16,1620600.0
2019-08-28,3221600.0
2018-11-13,1694400.0
2018-10-12,1406900.0
2019-06-25,1103500.0
2020-03-10,1760000.0
2020-05-28,1244100.0
2019-10-07,964600.0
2020-03-13,996400.0
2019-10-10,1129600.0
2020-03-16,1952100.0
2020-06-03,2391700.0
2018-11-28,1391500.0
2018-09-25,1585300.0
2018-07-23,2408700.0
2018-08-24,1747900.0
2019-07-10,1823400.0
2019-05-07,2494700.0
2019-04-05,2281500.0
2019-03-04,3115400.0
2019-01-31,1646300.0
2019-09-12,1548400.0
2019-12-31,1513100.0
2020-03-19,1338000.0
2020-01-03,884600.0
2020-06-09,1127400.0
2019-02-15,1239200.0
2019-01-14,1344600.0
2018-07-06,1265000.0
2018-08-07,1025300.0
2018-10-10,1438800.0
2018-12-13,1173100.0
2019-08-26,1336900.0
2019-07-25,1160200.0
2019-05-22,843100.0
2019-03-19,2112800.0
2020-01-06,1103800.0
2020-03-25,643000.0
2020-06-12,2219800.0
2019-10-22,1126600.0
2020-01-09,1570700.0
2020-06-15,1207000.0
2019-10-25,1152200.0
2020-03-31,1480300.0
2020-06-18,1283000.0
2019-04-03,1548700.0
2018-08-22,1214300.0
2018-10-25,1036800.0
2019-01-29,1031300.0
2018-12-28,1414800.0
2018-11-26,1519100.0
2019-08-09,1371200.0
2019-07-08,1239300.0
2019-06-06,1550400.0
2019-09-10,982300.0
2020-01-15,1049200.0
2020-04-03,1572500.0
2019-10-31,1202500.0
2020-04-06,1050000.0
2020-06-24,1597800.0
2018-11-09,1694400.0
2019-07-23,2055400.0
2019-06-21,1399400.0
2019-05-20,913400.0
2019-04-18,922400.0
2018-09-06,884700.0
2018-10-08,8596000.0
2019-02-13,3517900.0
2018-12-11,4205300.0
2019-09-25,2258700.0
2020-01-21,1435100.0
2020-04-09,2897500.0
2019-11-06,4247200.0
2020-01-24,3137500.0
2020-01-27,1543200.0
2020-04-15,3168400.0
2018-12-26,1936600.0
2019-08-07,1216300.0
2019-06-04,2278400.0
2018-09-21,2326400.0
2018-07-19,4260800.0
2018-08-20,2318200.0
2018-10-23,1816900.0
2019-05-03,1168200.0
2019-04-01,1629800.0
2019-02-28,1873700.0
2019-11-12,1489000.0
2020-01-30,1362800.0
2019-11-15,1409500.0
2020-04-21,1279100.0
2019-04-16,1403500.0
2019-03-15,1156800.0
2019-02-11,1320200.0
2019-01-10,1610000.0
2019-08-22,1476000.0
2018-11-07,2929800.0
2018-08-03,1454500.0
2018-09-04,2661600.0
2019-06-19,1336100.0
2019-09-23,2573800.0
2019-11-18,2541100.0
2020-02-05,1040100.0
2020-04-24,1594900.0
2019-03-29,2419600.0
2019-11-21,2118300.0
2020-04-27,1799600.0
2020-02-11,941900.0
2020-04-30,757300.0
2019-05-01,1126800.0
2019-02-26,1426700.0
2019-01-25,1027800.0
2018-12-24,965600.0
2019-09-06,1649600.0
2018-07-17,1073600.0
2018-09-19,1431500.0
2019-08-05,1170800.0
2019-10-08,1367900.0
2019-12-11,2559700.0
2019-11-27,904300.0
2020-02-14,930600.0
2020-05-06,1160500.0
2019-01-08,1750000.0
2018-12-07,2028100.0
2019-08-20,970800.0
2018-11-05,1232000.0
2019-07-19,980400.0
2018-10-04,1316600.0
2019-06-17,1434300.0
2019-05-16,1782500.0
2018-08-01,1183600.0
2019-03-13,956700.0
2019-12-03,1071200.0
2020-02-20,1001100.0
2019-12-06,1590300.0
2020-05-12,1403300.0
2019-12-09,1361300.0
2020-02-26,1123000.0
2020-05-15,1147100.0
2019-03-28,2710200.0
2018-09-17,2002800.0
2018-08-16,2405600.0
2018-10-19,1067800.0
2019-04-29,1895200.0
2019-01-23,1212900.0
2019-09-04,2535100.0
2018-11-20,2464000.0
2019-07-02,1845700.0
2019-05-31,1806700.0
2019-12-12,2362500.0
2020-05-18,1657600.0
2019-09-27,1402500.0
2020-03-03,821700.0
2020-05-21,956700.0
2019-05-14,909100.0
2018-08-31,1265500.0
2018-07-30,1214100.0
2018-10-02,1190400.0
2019-04-12,723900.0
2019-03-11,1615900.0
2019-02-07,740700.0
2019-07-17,815500.0
2019-09-19,973900.0
2019-10-21,919300.0
2019-12-18,1004200.0
2020-03-06,861300.0
2019-10-03,708300.0
2020-03-09,908500.0
2020-05-27,1144900.0
2019-12-24,863600.0
2020-03-12,1394800.0
2018-12-20,1080500.0
2019-08-01,1359600.0
2018-08-14,1047200.0
2018-07-13,1049700.0
2018-10-17,887100.0
2019-05-29,1116600.0
2019-03-26,966100.0
2019-02-22,1244500.0
2019-10-04,1412500.0
2019-11-05,953800.0
2019-12-27,2936000.0
2020-06-02,860600.0
2019-12-30,1285600.0
2020-03-18,1002500.0
2020-06-05,543300.0
2019-07-15,697900.0
2018-12-03,1062900.0
2019-06-13,784300.0
2019-01-04,807800.0
2018-08-29,754700.0
2019-02-05,754400.0
2018-11-01,560000.0
2019-08-16,1237900.0
2019-04-10,1034300.0
2019-09-17,950500.0
2019-10-15,906500.0
2020-01-02,775300.0
2020-06-08,786300.0
2019-10-18,1193800.0
2020-03-24,1175200.0
2020-06-11,1664500.0
2020-01-08,1225100.0
2019-04-25,1307800.0
2019-07-30,2487800.0
2019-02-20,1463500.0
2018-07-11,1724500.0
2018-09-13,1169200.0
2018-10-15,1062100.0
2019-06-28,1088000.0
2018-12-18,1702200.0
2018-11-16,1024400.0
2019-10-02,903800.0
2020-03-27,1139000.0
2020-01-10,928800.0
2019-10-24,1008800.0
2020-03-30,1016600.0
2020-06-17,611000.0
2020-01-14,1013700.0
2020-04-02,793200.0
2019-01-02,883600.0
2019-08-14,644600.0
2018-10-30,881000.0
2019-06-11,775400.0
2019-05-10,688200.0
2019-04-08,734000.0
2018-08-27,715800.0
2018-07-26,974200.0
2018-09-28,1141300.0
2019-03-07,632300.0
2019-10-30,439800.0
2020-01-17,981100.0
2020-06-23,1187500.0
2020-04-08,1035800.0
2020-06-26,674900.0
2019-03-22,599600.0
2019-01-17,1504600.0
2019-08-29,1155600.0
2018-11-14,533500.0
2019-06-26,784200.0
2018-09-11,675700.0
2018-07-09,690400.0
2018-08-10,1153400.0
2019-04-23,780600.0
2019-09-30,888700.0
2020-01-23,2037400.0
2019-11-08,792600.0
2020-04-14,189200.0
2019-11-11,351100.0
2020-01-29,471500.0
2020-04-17,650700.0
2018-07-24,661900.0
2018-09-26,791000.0
2019-05-08,1023700.0
2019-03-05,794100.0
2019-02-01,1009300.0
2018-12-31,941000.0
2018-11-29,527500.0
2019-08-12,764400.0
2019-07-11,1026700.0
2019-09-13,726700.0
2019-11-14,764600.0
2020-04-20,1097200.0
2020-02-04,1171900.0
2020-04-23,1089600.0
2018-12-14,899600.0
2019-08-27,1115400.0
2018-08-08,747600.0
2018-10-11,2189800.0
2018-11-12,2019500.0
2019-07-26,1445400.0
2019-06-24,1344100.0
2019-05-23,3088900.0
2019-03-20,1096800.0
2019-01-15,1304100.0
2019-11-20,1493500.0
2020-02-07,902200.0
2020-02-10,878900.0
2020-04-29,1068600.0
2019-11-26,697500.0
2020-02-13,863400.0
2019-01-30,860200.0
2018-08-23,1141800.0
2018-09-24,1079300.0
2018-11-27,620600.0
2018-10-26,1072200.0
2019-07-09,1218800.0
2019-06-07,1021500.0
2019-05-06,1926700.0
2019-04-04,1218100.0
2019-09-11,1523200.0
2019-11-29,2165300.0
2020-05-05,1606100.0
2019-12-02,1830700.0
2020-02-19,1755700.0
2020-05-08,1815100.0
2019-05-21,1729400.0
2019-03-18,1856100.0
2018-09-07,2139600.0
2018-08-06,1774100.0
2018-10-09,2103600.0
