Dates,QCOM
2018-06-20,6526400.0
2018-06-21,6605400.0
2018-06-25,8074100.0
2018-06-22,8635900.0
2018-06-26,8934700.0
2018-06-27,11832400.0
2018-06-28,11723600.0
2018-06-29,11274000.0
2018-07-02,7299900.0
2018-07-03,3618900.0
2018-07-05,11728300.0
2018-07-16,8806200.0
2018-09-18,4577100.0
2019-01-24,6848900.0
2019-09-05,8702000.0
2018-11-21,8426400.0
2020-01-13,5266100.0
2020-04-01,5907100.0
2020-06-19,7560300.0
2019-10-29,6795100.0
2020-01-16,8150200.0
2020-06-22,10859700.0
2018-10-03,8011800.0
2018-07-31,6637600.0
2019-03-12,13143100.0
2019-02-08,31025100.0
2019-01-07,13488800.0
2018-12-06,9547700.0
2019-08-19,22350800.0
2019-07-18,10706200.0
2019-05-15,10618500.0
2019-09-20,7809400.0
2019-11-01,10878400.0
2020-04-07,7810900.0
2020-06-25,7912200.0
2020-06-16,6629700.0
2019-11-04,8736000.0
2020-01-22,7092400.0
2019-11-07,7844200.0
2020-04-13,13524800.0
2019-07-01,9958800.0
2019-05-30,15170500.0
2018-08-15,13966900.0
2018-10-18,12181400.0
2019-03-27,13860300.0
2019-01-22,12038100.0
2018-12-21,16001400.0
2019-09-03,12578000.0
2018-11-19,24952700.0
2019-08-02,11874300.0
2020-01-28,12027500.0
2020-04-16,11166900.0
2019-11-13,13024100.0
2020-01-31,15310700.0
2018-12-04,11997700.0
2018-11-02,24421900.0
2019-07-16,14636000.0
2018-08-30,9501100.0
2018-10-01,12638300.0
2019-06-14,24617700.0
2019-05-13,13450700.0
2019-04-11,11558300.0
2019-02-06,11692000.0
2019-09-18,12383200.0
2020-02-03,12013900.0
2020-04-22,23465400.0
2019-11-19,15446100.0
2020-02-06,20741900.0
2019-11-22,11306000.0
2019-03-25,12498300.0
2019-02-21,20080800.0
2018-12-19,9340200.0
2018-07-12,9221200.0
2018-09-14,7079800.0
2018-08-13,8599500.0
2018-10-16,23411300.0
2019-07-31,10104600.0
2019-05-28,10329200.0
2019-04-26,22296800.0
2020-04-28,25852600.0
2019-11-25,15760900.0
2020-02-12,12314700.0
2020-05-01,15931400.0
2020-05-04,14779100.0
2019-06-12,12218600.0
2019-04-09,10673000.0
2019-03-08,12890400.0
2019-02-04,13441000.0
2018-07-27,23384300.0
2018-08-28,20385700.0
2019-01-03,17049300.0
2019-08-15,14778300.0
2018-10-31,18865300.0
2019-09-16,12917500.0
2020-02-18,11003900.0
2020-05-07,13707900.0
2018-08-17,13373800.0
2019-12-04,8774100.0
2020-02-21,18493500.0
2018-12-17,32155200.0
2019-08-30,21745200.0
2018-11-15,24447800.0
2019-07-29,20883800.0
2019-06-27,14071900.0
2019-04-24,18856300.0
2018-07-10,57303300.0
2018-09-12,20321400.0
2019-02-19,20658300.0
2019-01-18,13015500.0
2020-02-24,4671900.0
2020-05-13,10373700.0
2019-12-10,9719000.0
2020-02-27,17483500.0
2019-12-13,26949000.0
2020-05-19,18197800.0
2019-03-06,17114500.0
2018-11-30,15836500.0
2019-08-13,18203300.0
2019-07-12,17054700.0
2019-06-10,20484900.0
2019-05-09,13116300.0
2018-07-25,13246500.0
2018-09-27,8949900.0
2018-10-29,13551000.0
2019-10-16,16648200.0
2019-12-16,12384200.0
2020-03-04,17376400.0
2020-05-22,21742300.0
2019-10-01,38202300.0
2019-12-19,8275000.0
2018-09-10,18451600.0
2019-05-24,15804800.0
2018-08-09,12749600.0
2019-04-22,8877000.0
2019-03-21,9896600.0
2019-01-16,14422200.0
2019-08-28,14177300.0
2018-11-13,12352000.0
2018-10-12,12110000.0
2019-06-25,10971000.0
2020-03-10,10958200.0
2020-05-28,12024300.0
2019-10-07,9449400.0
2020-03-13,17423400.0
2019-10-10,13856000.0
2020-03-16,18365000.0
2020-06-03,28020000.0
2018-11-28,17867500.0
2018-09-25,33788600.0
2018-07-23,32782700.0
2018-08-24,19516200.0
2019-07-10,24457600.0
2019-05-07,26266600.0
2019-04-05,18124100.0
2019-03-04,24736300.0
2019-01-31,15533200.0
2019-09-12,10880000.0
2019-12-31,15454200.0
2020-03-19,11052900.0
2020-01-03,10623300.0
2020-06-09,12461200.0
2019-02-15,9971800.0
2019-01-14,16637600.0
2018-07-06,11004000.0
2018-08-07,17895000.0
2018-10-10,12239500.0
2018-12-13,8258400.0
2019-08-26,12863700.0
2019-07-25,7826200.0
2019-05-22,13394500.0
2019-03-19,15341700.0
2020-01-06,11366700.0
2020-03-25,10426200.0
2020-06-12,19000200.0
2019-10-22,12659000.0
2020-01-09,14021700.0
2020-06-15,10092800.0
2019-10-25,20521300.0
2020-03-31,13667300.0
2020-06-18,10117100.0
2019-04-03,10738800.0
2018-08-22,9575300.0
2018-10-25,9198900.0
2019-01-29,7306100.0
2018-12-28,27985600.0
2018-11-26,13089300.0
2019-08-09,9363700.0
2019-07-08,8804800.0
2019-06-06,19542700.0
2019-09-10,10243500.0
2020-01-15,6929600.0
2020-04-03,16051800.0
2019-10-31,11934400.0
2020-04-06,11064300.0
2020-06-24,8529100.0
2018-11-09,12066500.0
2019-07-23,7614500.0
2019-06-21,11563400.0
2019-05-20,9905100.0
2019-04-18,12332600.0
2018-09-06,8942400.0
2018-10-08,11713400.0
2019-02-13,15976500.0
2018-12-11,13903800.0
2019-09-25,13483500.0
2020-01-21,10712500.0
2020-04-09,86755900.0
2019-11-06,156019300.0
2020-01-24,41621200.0
2020-01-27,33292500.0
2020-04-15,56973700.0
2018-12-26,40290400.0
2019-08-07,20732200.0
2019-06-04,18860600.0
2018-09-21,17930000.0
2018-07-19,17582400.0
2018-08-20,28211500.0
2018-10-23,40342000.0
2019-05-03,21068400.0
2019-04-01,15682100.0
2019-02-28,21579500.0
2019-11-12,15500700.0
2020-01-30,14516000.0
2019-11-15,15955600.0
2020-04-21,16689000.0
2019-04-16,14353700.0
2019-03-15,11784800.0
2019-02-11,22498800.0
2019-01-10,19523400.0
2019-08-22,32679300.0
2018-11-07,17282200.0
2018-08-03,66150700.0
2018-09-04,31820700.0
2019-06-19,21420000.0
2019-09-23,22667300.0
2019-11-18,16312600.0
2020-02-05,11554600.0
2020-04-24,15060300.0
2019-03-29,13620700.0
2019-11-21,15866700.0
2020-04-27,11779200.0
2020-02-11,10781700.0
2020-04-30,10495600.0
2019-05-01,15229200.0
2019-02-26,11839500.0
2019-01-25,9385900.0
2018-12-24,6790500.0
2019-09-06,12119500.0
2018-07-17,9411100.0
2018-09-19,14508000.0
2019-08-05,11999300.0
2019-10-08,9871800.0
2019-12-11,15244500.0
2019-11-27,8893000.0
2020-02-14,8953400.0
2020-05-06,13808000.0
2019-01-08,11151900.0
2018-12-07,29217500.0
2019-08-20,17705700.0
2018-11-05,7075600.0
2019-07-19,5290400.0
2018-10-04,9220800.0
2019-06-17,7924900.0
2019-05-16,7506500.0
2018-08-01,15075700.0
2019-03-13,14298400.0
2019-12-03,8028100.0
