Dates,REGN
2018-06-20,1300000.0
2018-06-21,1014100.0
2018-06-25,714900.0
2018-06-22,574400.0
2018-06-26,655000.0
2018-06-27,1500900.0
2018-06-28,948300.0
2018-06-29,1205600.0
2018-07-02,871600.0
2018-07-03,540600.0
2018-07-05,954300.0
2018-07-16,1002500.0
2018-09-18,881400.0
2019-01-24,921300.0
2019-09-05,595800.0
2018-11-21,698100.0
2020-01-13,546200.0
2020-04-01,596400.0
2020-06-19,415300.0
2019-10-29,456700.0
2020-01-16,667000.0
2020-06-22,965100.0
2018-10-03,1106500.0
2018-07-31,846700.0
2019-03-12,672700.0
2019-02-08,579300.0
2019-01-07,1093900.0
2018-12-06,758400.0
2019-08-19,961500.0
2019-07-18,675200.0
2019-05-15,2148400.0
2019-09-20,1312200.0
2019-11-01,769100.0
2020-04-07,477700.0
2020-06-25,1161000.0
2020-06-16,1000600.0
2019-11-04,633400.0
2020-01-22,590200.0
2019-11-07,517700.0
2020-04-13,551100.0
2019-07-01,595400.0
2019-05-30,669600.0
2018-08-15,543800.0
2018-10-18,553500.0
2019-03-27,464700.0
2019-01-22,438900.0
2018-12-21,421300.0
2019-09-03,847700.0
2018-11-19,657900.0
2019-08-02,1234200.0
2020-01-28,956700.0
2020-04-16,484400.0
2019-11-13,627100.0
2020-01-31,541000.0
2018-12-04,483900.0
2018-11-02,503600.0
2019-07-16,355700.0
2018-08-30,346000.0
2018-10-01,684200.0
2019-06-14,538800.0
2019-05-13,493400.0
2019-04-11,525800.0
2019-02-06,644600.0
2019-09-18,610500.0
2020-02-03,680600.0
2020-04-22,1147800.0
2019-11-19,372800.0
2020-02-06,442200.0
2019-11-22,406200.0
2019-03-25,813200.0
2019-02-21,841600.0
2018-12-19,866700.0
2018-07-12,586900.0
2018-09-14,516200.0
2018-08-13,627500.0
2018-10-16,453700.0
2019-07-31,371500.0
2019-05-28,422000.0
2019-04-26,673300.0
2020-04-28,761600.0
2019-11-25,810200.0
2020-02-12,444900.0
2020-05-01,684500.0
2020-05-04,440000.0
2019-06-12,553500.0
2019-04-09,728900.0
2019-03-08,643900.0
2019-02-04,778000.0
2018-07-27,1416600.0
2018-08-28,2351700.0
2019-01-03,1038700.0
2019-08-15,947000.0
2018-10-31,1086800.0
2019-09-16,890300.0
2020-02-18,997300.0
2020-05-07,663600.0
2018-08-17,819100.0
2019-12-04,981400.0
2020-02-21,823600.0
2018-12-17,536600.0
2019-08-30,544000.0
2018-11-15,657100.0
2019-07-29,594100.0
2019-06-27,935300.0
2019-04-24,796700.0
2018-07-10,768300.0
2018-09-12,827800.0
2019-02-19,552500.0
2019-01-18,481200.0
2020-02-24,199500.0
2020-05-13,706000.0
2019-12-10,558600.0
2020-02-27,651100.0
2019-12-13,555700.0
2020-05-19,696800.0
2019-03-06,1100700.0
2018-11-30,1012900.0
2019-08-13,896700.0
2019-07-12,835800.0
2019-06-10,876100.0
2019-05-09,814700.0
2018-07-25,601200.0
2018-09-27,478900.0
2018-10-29,758400.0
2019-10-16,833100.0
2019-12-16,804800.0
2020-03-04,827100.0
2020-05-22,852400.0
2019-10-01,1514200.0
2019-12-19,463800.0
2018-09-10,832700.0
2019-05-24,690200.0
2018-08-09,522200.0
2019-04-22,680200.0
2019-03-21,599600.0
2019-01-16,750200.0
2019-08-28,1207600.0
2018-11-13,959400.0
2018-10-12,963500.0
2019-06-25,615600.0
2020-03-10,949300.0
2020-05-28,758000.0
2019-10-07,693300.0
2020-03-13,475100.0
2019-10-10,468800.0
2020-03-16,860200.0
2020-06-03,710400.0
2018-11-28,899500.0
2018-09-25,914000.0
2018-07-23,655100.0
2018-08-24,668000.0
2019-07-10,761000.0
2019-05-07,724700.0
2019-04-05,867800.0
2019-03-04,1441800.0
2019-01-31,702300.0
2019-09-12,474600.0
2019-12-31,629600.0
2020-03-19,1330800.0
2020-01-03,738400.0
2020-06-09,692100.0
2019-02-15,587000.0
2019-01-14,636900.0
2018-07-06,349300.0
2018-08-07,349600.0
2018-10-10,700000.0
2018-12-13,397800.0
2019-08-26,411100.0
2019-07-25,406600.0
2019-05-22,386600.0
2019-03-19,660400.0
2020-01-06,611100.0
2020-03-25,598800.0
2020-06-12,518000.0
2019-10-22,511000.0
2020-01-09,769300.0
2020-06-15,478300.0
2019-10-25,812300.0
2020-03-31,1020800.0
2020-06-18,1091700.0
2019-04-03,874200.0
2018-08-22,839700.0
2018-10-25,988800.0
2019-01-29,925200.0
2018-12-28,1158500.0
2018-11-26,545700.0
2019-08-09,627900.0
2019-07-08,479500.0
2019-06-06,880900.0
2019-09-10,552600.0
2020-01-15,431600.0
2020-04-03,674800.0
2019-10-31,450800.0
2020-04-06,436300.0
2020-06-24,492300.0
2018-11-09,496500.0
2019-07-23,513000.0
2019-06-21,789300.0
2019-05-20,517300.0
2019-04-18,657400.0
2018-09-06,703800.0
2018-10-08,577700.0
2019-02-13,579700.0
2018-12-11,843500.0
2019-09-25,1254100.0
2020-01-21,811500.0
2020-04-09,1054900.0
2019-11-06,1978400.0
2020-01-24,1920400.0
2020-01-27,921700.0
2020-04-15,972700.0
2018-12-26,850700.0
2019-08-07,891200.0
2019-06-04,846000.0
2018-09-21,598100.0
2018-07-19,554800.0
2018-08-20,503400.0
2018-10-23,812400.0
2019-05-03,848300.0
2019-04-01,916700.0
2019-02-28,1967300.0
2019-11-12,1183700.0
2020-01-30,864100.0
2019-11-15,1407500.0
2020-04-21,1153600.0
2019-04-16,836900.0
2019-03-15,784100.0
2019-02-11,1049100.0
2019-01-10,756000.0
2019-08-22,738600.0
2018-11-07,999900.0
2018-08-03,1252700.0
2018-09-04,934700.0
2019-06-19,401100.0
2019-09-23,718300.0
2019-11-18,627100.0
2020-02-05,627800.0
2020-04-24,863500.0
2019-03-29,670200.0
2019-11-21,844600.0
2020-04-27,979900.0
2020-02-11,767600.0
2020-04-30,775500.0
2019-05-01,726000.0
2019-02-26,554900.0
2019-01-25,556000.0
2018-12-24,653900.0
2019-09-06,624200.0
2018-07-17,587900.0
2018-09-19,1001000.0
2019-08-05,971200.0
2019-10-08,1617100.0
2019-12-11,1493700.0
2019-11-27,780700.0
2020-02-14,702200.0
2020-05-06,1005000.0
2019-01-08,564700.0
2018-12-07,1499000.0
2019-08-20,688700.0
2018-11-05,758200.0
2019-07-19,545000.0
2018-10-04,799600.0
2019-06-17,928800.0
2019-05-16,789800.0
2018-08-01,1533800.0
2019-03-13,1414200.0
2019-12-03,648400.0
2020-02-20,875900.0
2019-12-06,492500.0
2020-05-12,646300.0
2019-12-09,548000.0
2020-02-26,692700.0
2020-05-15,609000.0
2019-03-28,992100.0
2018-09-17,1144900.0
2018-08-16,679500.0
2018-10-19,956700.0
2019-04-29,691600.0
2019-01-23,512700.0
2019-09-04,690600.0
2018-11-20,704200.0
2019-07-02,506500.0
2019-05-31,845300.0
2019-12-12,1188200.0
2020-05-18,811600.0
2019-09-27,694000.0
2020-03-03,537200.0
2020-05-21,543400.0
2019-05-14,610800.0
2018-08-31,676400.0
2018-07-30,564000.0
2018-10-02,730200.0
2019-04-12,781200.0
2019-03-11,571500.0
2019-02-07,451700.0
2019-07-17,441400.0
2019-09-19,815800.0
2019-10-21,527500.0
2019-12-18,801500.0
2020-03-06,713600.0
2019-10-03,509300.0
2020-03-09,604500.0
2020-05-27,566000.0
2019-12-24,628600.0
2020-03-12,494100.0
2018-12-20,570100.0
2019-08-01,927500.0
2018-08-14,1159800.0
2018-07-13,517600.0
2018-10-17,539800.0
2019-05-29,617100.0
2019-03-26,476100.0
2019-02-22,604700.0
2019-10-04,548800.0
2019-11-05,404900.0
2019-12-27,1661800.0
2020-06-02,649400.0
2019-12-30,642300.0
2020-03-18,468800.0
2020-06-05,855900.0
2019-07-15,770400.0
2018-12-03,515100.0
2019-06-13,589600.0
2019-01-04,572100.0
2018-08-29,632000.0
2019-02-05,511900.0
2018-11-01,422700.0
2019-08-16,984000.0
2019-04-10,980600.0
2019-09-17,960600.0
2019-10-15,1074600.0
2020-01-02,840700.0
2020-06-08,731900.0
2019-10-18,827000.0
2020-03-24,445700.0
2020-06-11,530000.0
2020-01-08,496800.0
2019-04-25,723200.0
2019-07-30,589300.0
2019-02-20,565800.0
2018-07-11,412800.0
2018-09-13,384800.0
2018-10-15,387400.0
2019-06-28,604400.0
2018-12-18,741100.0
2018-11-16,829800.0
2019-10-02,632800.0
2020-03-27,2345400.0
2020-01-10,1017500.0
2019-10-24,952300.0
2020-03-30,1106100.0
2020-06-17,611900.0
2020-01-14,905400.0
2020-04-02,1009400.0
2019-01-02,1029600.0
2019-08-14,912200.0
2018-10-30,622500.0
2019-06-11,630800.0
2019-05-10,1058100.0
2019-04-08,858300.0
2018-08-27,1286400.0
2018-07-26,845000.0
2018-09-28,735100.0
2019-03-07,734400.0
2019-10-30,463600.0
2020-01-17,652200.0
2020-06-23,929700.0
2020-04-08,605000.0
2020-06-26,501800.0
2019-03-22,575900.0
2019-01-17,974400.0
2019-08-29,1061600.0
2018-11-14,935700.0
2019-06-26,949900.0
2018-09-11,995900.0
2018-07-09,756600.0
2018-08-10,1002900.0
2019-04-23,831300.0
2019-09-30,903700.0
2020-01-23,1192800.0
2019-11-08,431200.0
2020-04-14,221500.0
2019-11-11,451900.0
2020-01-29,293000.0
2020-04-17,369200.0
2018-07-24,494600.0
2018-09-26,512400.0
2019-05-08,500800.0
2019-03-05,690800.0
2019-02-01,736400.0
2018-12-31,743100.0
2018-11-29,587500.0
2019-08-12,568100.0
2019-07-11,637200.0
2019-09-13,638900.0
2019-11-14,680700.0
2020-04-20,620500.0
2020-02-04,862800.0
2020-04-23,1488400.0
2018-12-14,1320300.0
