Dates,RF
2018-06-20,8467800.0
2018-06-21,10623200.0
2018-06-25,12078500.0
2018-06-22,10753500.0
2018-06-26,9887000.0
2018-06-27,12322900.0
2018-06-28,12372600.0
2018-06-29,18515700.0
2018-07-02,13185900.0
2018-07-03,6077500.0
2018-07-05,11142700.0
2018-07-16,9841900.0
2018-09-18,11564400.0
2019-01-24,12428700.0
2019-09-05,7794500.0
2018-11-21,10073600.0
2020-01-13,19405700.0
2020-04-01,8645100.0
2020-06-19,9817200.0
2019-10-29,11263900.0
2020-01-16,12868400.0
2020-06-22,16016600.0
2018-10-03,13069100.0
2018-07-31,17133000.0
2019-03-12,13383300.0
2019-02-08,12116100.0
2019-01-07,10344500.0
2018-12-06,13781200.0
2019-08-19,12467000.0
2019-07-18,14581000.0
2019-05-15,11759500.0
2019-09-20,10476500.0
2019-11-01,10461900.0
2020-04-07,11555600.0
2020-06-25,8902400.0
2020-06-16,7004500.0
2019-11-04,8846900.0
2020-01-22,9497400.0
2019-11-07,10964900.0
2020-04-13,10243200.0
2019-07-01,10024400.0
2019-05-30,10071100.0
2018-08-15,8298700.0
2018-10-18,9948200.0
2019-03-27,6141200.0
2019-01-22,5897000.0
2018-12-21,7958500.0
2019-09-03,8804700.0
2018-11-19,8124800.0
2019-08-02,9292200.0
2020-01-28,8096700.0
2020-04-16,7923500.0
2019-11-13,8883300.0
2020-01-31,10739500.0
2018-12-04,8587600.0
2018-11-02,8874100.0
2019-07-16,6645600.0
2018-08-30,8759200.0
2018-10-01,11764500.0
2019-06-14,14796500.0
2019-05-13,11172100.0
2019-04-11,16291000.0
2019-02-06,11182200.0
2019-09-18,8512800.0
2020-02-03,8848900.0
2020-04-22,14424400.0
2019-11-19,8067000.0
2020-02-06,7670800.0
2019-11-22,9266800.0
2019-03-25,13998400.0
2019-02-21,13617100.0
2018-12-19,15586500.0
2018-07-12,11908900.0
2018-09-14,12179000.0
2018-08-13,11839600.0
2018-10-16,8604000.0
2019-07-31,8363500.0
2019-05-28,8757100.0
2019-04-26,12205900.0
2020-04-28,15154200.0
2019-11-25,19965800.0
2020-02-12,13905800.0
2020-05-01,14614600.0
2020-05-04,15434200.0
2019-06-12,13042300.0
2019-04-09,16990800.0
2019-03-08,20725400.0
2019-02-04,21101400.0
2018-07-27,29458900.0
2018-08-28,16413200.0
2019-01-03,15845900.0
2019-08-15,15731100.0
2018-10-31,20155600.0
2019-09-16,21663900.0
