Dates,RHI
2018-06-20,1025300.0
2018-06-21,917500.0
2018-06-25,1192900.0
2018-06-22,1421400.0
2018-06-26,1180000.0
2018-06-27,1233700.0
2018-06-28,1912600.0
2018-06-29,1359800.0
2018-07-02,1100100.0
2018-07-03,461200.0
2018-07-05,1001100.0
2018-07-16,798700.0
2018-09-18,742900.0
2019-01-24,917000.0
2019-09-05,700600.0
2018-11-21,809200.0
2020-01-13,992100.0
2020-04-01,585000.0
2020-06-19,1241400.0
2019-10-29,1701700.0
2020-01-16,700800.0
2020-06-22,949900.0
2018-10-03,883700.0
2018-07-31,1738500.0
2019-03-12,3383200.0
2019-02-08,1795500.0
2019-01-07,1457800.0
2018-12-06,949700.0
2019-08-19,1037900.0
2019-07-18,1432500.0
2019-05-15,1412300.0
2019-09-20,1314900.0
2019-11-01,1001600.0
2020-04-07,1038100.0
2020-06-25,744500.0
2020-06-16,842400.0
2019-11-04,1041100.0
2020-01-22,2035700.0
2019-11-07,1252300.0
2020-04-13,852200.0
2019-07-01,981200.0
2019-05-30,1415800.0
2018-08-15,1054600.0
2018-10-18,1100300.0
2019-03-27,741200.0
2019-01-22,1049900.0
2018-12-21,818400.0
2019-09-03,816700.0
2018-11-19,726600.0
2019-08-02,957900.0
2020-01-28,578100.0
2020-04-16,1023400.0
2019-11-13,954900.0
2020-01-31,2516500.0
2018-12-04,1830200.0
2018-11-02,1797000.0
2019-07-16,1979900.0
2018-08-30,1708900.0
2018-10-01,1111300.0
2019-06-14,941600.0
2019-05-13,1299900.0
2019-04-11,1217400.0
2019-02-06,1666400.0
2019-09-18,1445000.0
2020-02-03,1263200.0
2020-04-22,1561700.0
2019-11-19,1057600.0
2020-02-06,1074900.0
2019-11-22,1216400.0
2019-03-25,1222900.0
2019-02-21,1505300.0
2018-12-19,1504300.0
2018-07-12,1088500.0
2018-09-14,1678100.0
2018-08-13,980500.0
2018-10-16,1213000.0
2019-07-31,1535100.0
2019-05-28,1208700.0
2019-04-26,1359700.0
2020-04-28,1697500.0
2019-11-25,1725200.0
2020-02-12,1879400.0
2020-05-01,1413900.0
2020-05-04,1116700.0
2019-06-12,1834500.0
2019-04-09,2552400.0
2019-03-08,2253600.0
2019-02-04,2966100.0
2018-07-27,4435000.0
2018-08-28,2628900.0
2019-01-03,2271700.0
2019-08-15,1801900.0
2018-10-31,1486100.0
2019-09-16,2120400.0
2020-02-18,1123200.0
2020-05-07,1288100.0
2018-08-17,1382500.0
2019-12-04,1356200.0
2020-02-21,958800.0
2018-12-17,1702900.0
2019-08-30,1654700.0
2018-11-15,698900.0
2019-07-29,1237100.0
2019-06-27,1314500.0
2019-04-24,1596500.0
2018-07-10,899100.0
2018-09-12,2535900.0
2019-02-19,1680400.0
2019-01-18,1072800.0
2020-02-24,403400.0
2020-05-13,1303300.0
2019-12-10,1133300.0
2020-02-27,947000.0
2019-12-13,1076400.0
2020-05-19,1087400.0
2019-03-06,1435200.0
2018-11-30,1249100.0
2019-08-13,1443100.0
2019-07-12,1117200.0
2019-06-10,713200.0
2019-05-09,921400.0
2018-07-25,989200.0
2018-09-27,842500.0
2018-10-29,1311600.0
2019-10-16,1637000.0
2019-12-16,970000.0
2020-03-04,1393600.0
2020-05-22,1146600.0
2019-10-01,2000600.0
2019-12-19,718900.0
2018-09-10,989300.0
2019-05-24,1232800.0
2018-08-09,809700.0
2019-04-22,679300.0
2019-03-21,1127200.0
2019-01-16,1622100.0
2019-08-28,1576100.0
2018-11-13,1113700.0
2018-10-12,1303500.0
2019-06-25,1262400.0
2020-03-10,976500.0
2020-05-28,894800.0
2019-10-07,697700.0
2020-03-13,652100.0
2019-10-10,932900.0
2020-03-16,1232500.0
2020-06-03,1104200.0
2018-11-28,950900.0
2018-09-25,843600.0
2018-07-23,1095100.0
2018-08-24,837900.0
2019-07-10,1036300.0
2019-05-07,1420000.0
2019-04-05,3046500.0
2019-03-04,1708900.0
2019-01-31,1924200.0
2019-09-12,1308400.0
2019-12-31,1207300.0
2020-03-19,742900.0
2020-01-03,1074300.0
2020-06-09,713800.0
2019-02-15,931200.0
2019-01-14,792400.0
2018-07-06,986400.0
2018-08-07,965400.0
2018-10-10,677800.0
2018-12-13,1375500.0
2019-08-26,1003300.0
2019-07-25,695500.0
2019-05-22,778400.0
2019-03-19,750500.0
2020-01-06,903300.0
2020-03-25,681900.0
2020-06-12,952500.0
2019-10-22,1086300.0
2020-01-09,908800.0
2020-06-15,1237900.0
2019-10-25,1354900.0
2020-03-31,1175200.0
2020-06-18,1185700.0
2019-04-03,953400.0
2018-08-22,1338300.0
2018-10-25,1078200.0
2019-01-29,960900.0
2018-12-28,2607000.0
2018-11-26,1184100.0
2019-08-09,962600.0
2019-07-08,784700.0
2019-06-06,912900.0
2019-09-10,1122900.0
2020-01-15,1018700.0
2020-04-03,850800.0
2019-10-31,857600.0
2020-04-06,1003000.0
2020-06-24,982800.0
2018-11-09,1180600.0
2019-07-23,1019200.0
2019-06-21,1146300.0
2019-05-20,621400.0
2019-04-18,688700.0
2018-09-06,598500.0
2018-10-08,1002100.0
2019-02-13,905600.0
2018-12-11,1014000.0
2019-09-25,959900.0
2020-01-21,701400.0
2020-04-09,808100.0
2019-11-06,1180900.0
2020-01-24,1413500.0
2020-01-27,981500.0
2020-04-15,2143000.0
2018-12-26,4130300.0
2019-08-07,1738500.0
2019-06-04,1122800.0
2018-09-21,1468500.0
2018-07-19,1905400.0
2018-08-20,934100.0
2018-10-23,1084200.0
2019-05-03,1224900.0
2019-04-01,729900.0
2019-02-28,1229400.0
2019-11-12,1320700.0
2020-01-30,1589100.0
2019-11-15,1647000.0
2020-04-21,1530700.0
2019-04-16,2044700.0
2019-03-15,814600.0
2019-02-11,844400.0
2019-01-10,874500.0
2019-08-22,971500.0
2018-11-07,864600.0
2018-08-03,957600.0
2018-09-04,1348100.0
2019-06-19,748200.0
2019-09-23,1532200.0
2019-11-18,1374800.0
2020-02-05,1668000.0
2020-04-24,1697400.0
2019-03-29,1496900.0
2019-11-21,2171200.0
2020-04-27,1357800.0
2020-02-11,1325000.0
2020-04-30,1503100.0
2019-05-01,1516400.0
2019-02-26,1219600.0
2019-01-25,859100.0
2018-12-24,1239100.0
2019-09-06,1322300.0
2018-07-17,812800.0
2018-09-19,1296800.0
2019-08-05,1036900.0
2019-10-08,1194300.0
2019-12-11,2209800.0
2019-11-27,798300.0
2020-02-14,1205700.0
2020-05-06,1187500.0
2019-01-08,996500.0
2018-12-07,1515400.0
2019-08-20,1027200.0
2018-11-05,5649900.0
2019-07-19,1889200.0
2018-10-04,1289300.0
2019-06-17,1786400.0
2019-05-16,2100900.0
2018-08-01,1791900.0
2019-03-13,1396700.0
2019-12-03,1163200.0
2020-02-20,1208400.0
2019-12-06,2391300.0
2020-05-12,1231600.0
2019-12-09,1288400.0
2020-02-26,1469000.0
2020-05-15,1066200.0
2019-03-28,2069700.0
2018-09-17,3488200.0
2018-08-16,2449900.0
2018-10-19,1407000.0
2019-04-29,1019000.0
2019-01-23,920600.0
2019-09-04,981900.0
2018-11-20,1299000.0
2019-07-02,1283600.0
2019-05-31,2045400.0
2019-12-12,1511800.0
2020-05-18,929900.0
2019-09-27,625300.0
2020-03-03,742100.0
2020-05-21,464100.0
2019-05-14,739000.0
2018-08-31,1025000.0
2018-07-30,1164900.0
2018-10-02,617700.0
2019-04-12,1047700.0
2019-03-11,871900.0
2019-02-07,642600.0
2019-07-17,654100.0
2019-09-19,956700.0
2019-10-21,620500.0
2019-12-18,886600.0
2020-03-06,694600.0
2019-10-03,653700.0
2020-03-09,884000.0
2020-05-27,1058700.0
2019-12-24,1664300.0
2020-03-12,817000.0
2018-12-20,632800.0
2019-08-01,1161600.0
2018-08-14,1491900.0
2018-07-13,1077000.0
2018-10-17,1205400.0
2019-05-29,1145700.0
2019-03-26,769700.0
2019-02-22,1081600.0
2019-10-04,1272800.0
2019-11-05,1069800.0
2019-12-27,1386900.0
2020-06-02,872400.0
2019-12-30,1266200.0
2020-03-18,584400.0
2020-06-05,659600.0
2019-07-15,941800.0
2018-12-03,867700.0
2019-06-13,1324900.0
2019-01-04,1692000.0
2018-08-29,1383500.0
2019-02-05,859100.0
2018-11-01,1082500.0
2019-08-16,1532000.0
2019-04-10,1138500.0
2019-09-17,622600.0
2019-10-15,1219000.0
2020-01-02,922600.0
2020-06-08,1144800.0
2019-10-18,1445500.0
2020-03-24,673800.0
2020-06-11,1148500.0
2020-01-08,931500.0
2019-04-25,1213100.0
2019-07-30,1276000.0
2019-02-20,1509700.0
2018-07-11,905700.0
2018-09-13,635600.0
2018-10-15,868200.0
2019-06-28,630300.0
2018-12-18,739200.0
2018-11-16,975900.0
2019-10-02,1300900.0
2020-03-27,1080500.0
2020-01-10,974000.0
2019-10-24,880800.0
2020-03-30,800000.0
2020-06-17,704800.0
2020-01-14,1015000.0
2020-04-02,659000.0
2019-01-02,1121500.0
2019-08-14,922100.0
2018-10-30,683800.0
2019-06-11,797200.0
2019-05-10,871100.0
2019-04-08,780300.0
2018-08-27,752500.0
2018-07-26,675100.0
2018-09-28,865900.0
2019-03-07,771300.0
2019-10-30,233000.0
2020-01-17,719400.0
2020-06-23,1379200.0
2020-04-08,1191400.0
2020-06-26,1207900.0
2019-03-22,1029600.0
2019-01-17,1389600.0
2019-08-29,1456400.0
2018-11-14,996000.0
2019-06-26,911300.0
2018-09-11,1368700.0
2018-07-09,2144100.0
2018-08-10,897400.0
2019-04-23,1526600.0
2019-09-30,744900.0
2020-01-23,1356800.0
2019-11-08,544800.0
2020-04-14,182500.0
2019-11-11,568900.0
2020-01-29,977800.0
2020-04-17,684500.0
2018-07-24,713100.0
2018-09-26,864800.0
2019-05-08,1667700.0
2019-03-05,991300.0
2019-02-01,1239700.0
2018-12-31,1025200.0
2018-11-29,917900.0
2019-08-12,698100.0
2019-07-11,1121600.0
2019-09-13,1108500.0
2019-11-14,773600.0
2020-04-20,1676800.0
2020-02-04,874600.0
2020-04-23,885700.0
2018-12-14,627500.0
2019-08-27,783700.0
2018-08-08,616700.0
2018-10-11,984300.0
2018-11-12,1044000.0
2019-07-26,779100.0
2019-06-24,1384400.0
2019-05-23,1891000.0
2019-03-20,1172300.0
2019-01-15,1006100.0
2019-11-20,1030200.0
2020-02-07,898200.0
2020-02-10,559400.0
2020-04-29,606600.0
2019-11-26,413900.0
2020-02-13,561800.0
2019-01-30,531500.0
2018-08-23,431700.0
2018-09-24,642600.0
2018-11-27,771600.0
2018-10-26,699400.0
2019-07-09,980300.0
2019-06-07,1311200.0
2019-05-06,1060000.0
2019-04-04,1274000.0
2019-09-11,1309700.0
2019-11-29,2499500.0
2020-05-05,1438800.0
2019-12-02,1560700.0
2020-02-19,1544700.0
2020-05-08,1286500.0
2019-05-21,2087200.0
2019-03-18,2005500.0
2018-09-07,1695900.0
2018-08-06,1937800.0
2018-10-09,1798800.0
2019-02-14,1719400.0
2018-12-12,1457900.0
2019-07-24,1649200.0
2019-09-26,1486100.0
2019-10-28,1235800.0
2019-12-05,1565900.0
2020-05-11,1917700.0
2019-07-03,2136900.0
2020-02-25,1974300.0
2020-05-14,2098100.0
2020-02-28,1697300.0
2019-08-08,1952800.0
2019-06-05,1874800.0
2018-07-20,2007700.0
2018-08-21,1726700.0
2018-10-24,1809200.0
2019-04-02,4580900.0
2019-03-01,3356400.0
2019-01-28,1528800.0
2018-12-27,1653600.0
2019-09-09,1876700.0
2020-03-02,2022000.0
2020-05-20,1832300.0
2019-12-17,1672000.0
2020-03-05,1555500.0
2019-02-12,1815500.0
2019-01-11,1758000.0
2018-12-10,2418500.0
2019-08-23,2037700.0
2018-11-08,3304000.0
2019-07-22,1416700.0
2019-06-20,1430700.0
2018-09-05,2042900.0
2019-04-17,1587100.0
2019-09-24,1458000.0
2019-12-20,1463100.0
2020-05-26,1153000.0
2019-04-30,964800.0
2019-12-23,1148800.0
2020-03-11,1280400.0
2020-05-29,1143600.0
2019-12-26,1144800.0
2020-06-01,1272400.0
2019-05-02,1282800.0
2019-02-27,1485200.0
2018-11-23,1193100.0
2019-08-06,965600.0
2018-07-18,910700.0
2018-09-20,764200.0
2018-10-22,999900.0
2019-07-05,1839100.0
2019-06-03,1113500.0
2019-10-09,993200.0
2019-10-11,1624800.0
2020-03-17,1028000.0
2020-06-04,985900.0
2019-10-14,1677300.0
2020-03-20,1779100.0
2018-11-06,2519400.0
2019-06-18,1730800.0
2019-05-17,1261400.0
2019-04-15,1099000.0
2019-03-14,1330000.0
2019-01-09,1216900.0
