Dates,RTX
2018-06-20,1385400.0
2018-06-21,835400.0
2018-06-25,2203500.0
2018-06-22,1491800.0
2018-06-26,1813900.0
2018-06-27,2075400.0
2018-06-28,1368400.0
2018-06-29,6716400.0
2018-07-02,2283600.0
2018-07-03,1059900.0
2018-07-05,1178600.0
2018-07-16,1518900.0
2018-09-18,1334700.0
2019-01-24,1600000.0
2019-09-05,1618400.0
2018-11-21,1181100.0
2020-01-13,1457300.0
2020-04-01,1961500.0
2020-06-19,1133000.0
2019-10-29,1138500.0
2020-01-16,1080500.0
2020-06-22,1606400.0
2018-10-03,1388700.0
2018-07-31,1705000.0
2019-03-12,1524500.0
2019-02-08,2400700.0
2019-01-07,1392100.0
2018-12-06,1534200.0
2019-08-19,1529400.0
2019-07-18,1384500.0
2019-05-15,1684300.0
2019-09-20,1118000.0
2019-11-01,761500.0
2020-04-07,1097800.0
2020-06-25,903500.0
2020-06-16,837000.0
2019-11-04,568000.0
2020-01-22,810400.0
2019-11-07,566700.0
2020-04-13,907500.0
2019-07-01,732500.0
2019-05-30,981700.0
2018-08-15,946700.0
2018-10-18,919200.0
2019-03-27,616400.0
2019-01-22,681000.0
2018-12-21,905200.0
2019-09-03,825600.0
2018-11-19,1257600.0
2019-08-02,1277500.0
2020-01-28,968900.0
2020-04-16,1302100.0
2019-11-13,1371100.0
2020-01-31,1027900.0
2018-12-04,890700.0
2018-11-02,1204400.0
2019-07-16,797500.0
2018-08-30,1077700.0
2018-10-01,860800.0
2019-06-14,830400.0
2019-05-13,847300.0
2019-04-11,878100.0
2019-02-06,964900.0
2019-09-18,732200.0
2020-02-03,784800.0
2020-04-22,1642000.0
2019-11-19,706300.0
2020-02-06,835800.0
2019-11-22,1712100.0
2019-03-25,1381100.0
2019-02-21,2148200.0
2018-12-19,1841400.0
2018-07-12,941200.0
2018-09-14,1000900.0
2018-08-13,935500.0
2018-10-16,859800.0
2019-07-31,852200.0
2019-05-28,1087300.0
2019-04-26,1565400.0
2020-04-28,2395200.0
2019-11-25,1257500.0
2020-02-12,1064200.0
2020-05-01,1136700.0
2020-05-04,886900.0
2019-06-12,2643400.0
2019-04-09,1905500.0
2019-03-08,1513400.0
2019-02-04,1960500.0
2018-07-27,2053400.0
2018-08-28,2800100.0
2019-01-03,2659500.0
2019-08-15,2700800.0
2018-10-31,1441900.0
2019-09-16,1607500.0
2020-02-18,1369000.0
2020-05-07,1338100.0
2018-08-17,801400.0
2019-12-04,920200.0
2020-02-21,1536000.0
2018-12-17,1101800.0
2019-08-30,1845500.0
2018-11-15,1754100.0
2019-07-29,955700.0
2019-06-27,1502600.0
2019-04-24,1648100.0
2018-07-10,1924100.0
2018-09-12,1362900.0
2019-02-19,1658200.0
2019-01-18,874200.0
2020-02-24,346800.0
2020-05-13,1604000.0
2019-12-10,2327600.0
2020-02-27,1445100.0
2019-12-13,976400.0
2020-05-19,1096000.0
2019-03-06,1692900.0
2018-11-30,1316200.0
2019-08-13,1906300.0
2019-07-12,1627300.0
2019-06-10,907100.0
2019-05-09,1023600.0
2018-07-25,905000.0
2018-09-27,971200.0
2018-10-29,916900.0
2019-10-16,1765100.0
2019-12-16,1593200.0
2020-03-04,1877600.0
2020-05-22,2213300.0
2019-10-01,2677600.0
2019-12-19,1158200.0
2018-09-10,1638400.0
2019-05-24,1485000.0
