Dates,SBUX
2018-06-20,62091100.0
2018-06-21,30723000.0
2018-06-25,24429600.0
2018-06-22,15578600.0
2018-06-26,12930600.0
2018-06-27,14576900.0
2018-06-28,33210100.0
2018-06-29,17413000.0
2018-07-02,9870900.0
2018-07-03,7517500.0
2018-07-05,9630500.0
2018-07-16,10712000.0
2018-09-18,12811700.0
2019-01-24,9038000.0
2019-09-05,9542400.0
2018-11-21,9339200.0
2020-01-13,21718400.0
2020-04-01,16974900.0
2020-06-19,11421300.0
2019-10-29,13549500.0
2020-01-16,11415600.0
2020-06-22,11024100.0
2018-10-03,8406800.0
2018-07-31,9921500.0
2019-03-12,11368000.0
2019-02-08,11114800.0
2019-01-07,15770300.0
2018-12-06,14448400.0
2019-08-19,9228200.0
2019-07-18,11952400.0
2019-05-15,13636400.0
2019-09-20,8246100.0
2019-11-01,6505800.0
2020-04-07,5869400.0
2020-06-25,7257200.0
2020-06-16,7175400.0
2019-11-04,10539300.0
2020-01-22,7911300.0
2019-11-07,9385400.0
2020-04-13,9566000.0
2019-07-01,8721200.0
2019-05-30,8166900.0
2018-08-15,9791200.0
2018-10-18,7990000.0
2019-03-27,10369600.0
2019-01-22,8567600.0
2018-12-21,9849800.0
2019-09-03,6443200.0
2018-11-19,7171900.0
2019-08-02,6604900.0
2020-01-28,5576400.0
2020-04-16,10892800.0
2019-11-13,8235200.0
2020-01-31,7966300.0
2018-12-04,7803400.0
2018-11-02,10231700.0
2019-07-16,8621000.0
2018-08-30,7873900.0
2018-10-01,7297300.0
2019-06-14,8566600.0
2019-05-13,6827700.0
2019-04-11,9277200.0
2019-02-06,7569600.0
2019-09-18,7451600.0
2020-02-03,10582600.0
2020-04-22,25800500.0
2019-11-19,10616000.0
2020-02-06,9445500.0
2019-11-22,7757300.0
2019-03-25,6606200.0
2019-02-21,8975900.0
2018-12-19,12726900.0
2018-07-12,12680800.0
2018-09-14,7383500.0
2018-08-13,9722000.0
2018-10-16,9734000.0
2019-07-31,9623900.0
2019-05-28,24855700.0
2019-04-26,14190500.0
2020-04-28,15316900.0
2019-11-25,13980500.0
2020-02-12,10175100.0
2020-05-01,11731400.0
2020-05-04,14631000.0
2019-06-12,12184700.0
2019-04-09,10180500.0
2019-03-08,8680200.0
2019-02-04,12834200.0
2018-07-27,12189700.0
2018-08-28,9569600.0
2019-01-03,13367600.0
2019-08-15,14412800.0
2018-10-31,14230100.0
2019-09-16,11560400.0
2020-02-18,18772400.0
2020-05-07,45573000.0
2018-08-17,23242600.0
2019-12-04,16065400.0
2020-02-21,16465000.0
2018-12-17,14081700.0
2019-08-30,8637200.0
2018-11-15,12789600.0
2019-07-29,16637000.0
2019-06-27,13350500.0
2019-04-24,15246500.0
2018-07-10,9287900.0
2018-09-12,10855400.0
2019-02-19,11208900.0
2019-01-18,10978100.0
2020-02-24,7779800.0
2020-05-13,13066800.0
2019-12-10,13169100.0
2020-02-27,12867600.0
2019-12-13,9605500.0
2020-05-19,27308900.0
2019-03-06,13834300.0
2018-11-30,13555100.0
2019-08-13,17222200.0
2019-07-12,11057500.0
2019-06-10,12148300.0
2019-05-09,10903100.0
2018-07-25,11115800.0
2018-09-27,10016200.0
2018-10-29,16834000.0
2019-10-16,15143100.0
2019-12-16,10523500.0
2020-03-04,14390100.0
2020-05-22,20264600.0
2019-10-01,23524900.0
2019-12-19,6323300.0
2018-09-10,16646200.0
2019-05-24,11308100.0
2018-08-09,7711900.0
2019-04-22,7689800.0
2019-03-21,10094000.0
2019-01-16,14390100.0
2019-08-28,12694400.0
2018-11-13,10337600.0
2018-10-12,10809700.0
2019-06-25,13080300.0
2020-03-10,10397600.0
2020-05-28,13805700.0
2019-10-07,9929600.0
2020-03-13,7930400.0
2019-10-10,8091300.0
2020-03-16,6767100.0
2020-06-03,9835200.0
2018-11-28,16414300.0
2018-09-25,12372400.0
2018-07-23,29719800.0
2018-08-24,21885800.0
2019-07-10,11537700.0
2019-05-07,10703400.0
2019-04-05,11702500.0
2019-03-04,24233300.0
2019-01-31,10309200.0
2019-09-12,13562400.0
2019-12-31,12781600.0
2020-03-19,10283400.0
2020-01-03,10109200.0
2020-06-09,8862000.0
2019-02-15,9229700.0
2019-01-14,8848900.0
2018-07-06,10264000.0
2018-08-07,9441100.0
2018-10-10,13924600.0
2018-12-13,9208400.0
2019-08-26,9671800.0
2019-07-25,10933500.0
2019-05-22,11311600.0
2019-03-19,12071200.0
2020-01-06,12302300.0
2020-03-25,13274800.0
2020-06-12,18956700.0
2019-10-22,8067700.0
2020-01-09,9219700.0
2020-06-15,10496100.0
2019-10-25,7666100.0
2020-03-31,7814700.0
2020-06-18,12363900.0
2019-04-03,11518300.0
2018-08-22,12751700.0
2018-10-25,13798600.0
2019-01-29,9249200.0
2018-12-28,13096900.0
2018-11-26,5682400.0
2019-08-09,7810700.0
2019-07-08,9512400.0
2019-06-06,8044400.0
2019-09-10,8022800.0
2020-01-15,6453800.0
2020-04-03,7624000.0
2019-10-31,7662700.0
2020-04-06,6709600.0
2020-06-24,9099500.0
2018-11-09,8108400.0
2019-07-23,5520900.0
2019-06-21,6755600.0
2019-05-20,5449800.0
2019-04-18,5346200.0
2018-09-06,5140400.0
2018-10-08,4905800.0
2019-02-13,6066300.0
2018-12-11,6042600.0
2019-09-25,5194800.0
2020-01-21,7632200.0
2020-04-09,8336600.0
2019-11-06,9439000.0
2020-01-24,6607800.0
2020-01-27,4883100.0
2020-04-15,5273900.0
2018-12-26,9347300.0
2019-08-07,11084500.0
2019-06-04,12550500.0
2018-09-21,5426800.0
2018-07-19,7384400.0
2018-08-20,6678000.0
2018-10-23,6247500.0
2019-05-03,4967900.0
2019-04-01,5607500.0
2019-02-28,8115800.0
2019-11-12,7799900.0
2020-01-30,7326600.0
2019-11-15,6448600.0
2020-04-21,9778500.0
2019-04-16,6870900.0
2019-03-15,5415500.0
2019-02-11,6941800.0
2019-01-10,7379900.0
2019-08-22,11475000.0
2018-11-07,5808500.0
2018-08-03,5602300.0
2018-09-04,9213200.0
2019-06-19,5627600.0
2019-09-23,16205200.0
2019-11-18,10511600.0
2020-02-05,7178400.0
2020-04-24,7625700.0
2019-03-29,8122200.0
2019-11-21,11685000.0
2020-04-27,7437100.0
2020-02-11,10457200.0
2020-04-30,11278800.0
2019-05-01,8102800.0
2019-02-26,6226400.0
2019-01-25,6088800.0
2018-12-24,7156800.0
2019-09-06,9226500.0
2018-07-17,9313700.0
2018-09-19,10582600.0
2019-08-05,5401400.0
2019-10-08,5215800.0
2019-12-11,12610000.0
2019-11-27,6692500.0
2020-02-14,7312300.0
2020-05-06,7576400.0
2019-01-08,6084200.0
2018-12-07,6735300.0
2019-08-20,7935100.0
2018-11-05,6205800.0
2019-07-19,7818600.0
2018-10-04,5733100.0
2019-06-17,6359500.0
2019-05-16,5355400.0
2018-08-01,5293000.0
2019-03-13,6191400.0
2019-12-03,5628000.0
2020-02-20,6061300.0
2019-12-06,5591900.0
2020-05-12,4635900.0
2019-12-09,6471400.0
2020-02-26,10804800.0
2020-05-15,5636600.0
2019-03-28,7609200.0
2018-09-17,5388100.0
2018-08-16,8106300.0
2018-10-19,20846500.0
2019-04-29,11184500.0
2019-01-23,7248300.0
2019-09-04,9912100.0
2018-11-20,8342300.0
2019-07-02,6381700.0
2019-05-31,8917400.0
2019-12-12,7438000.0
2020-05-18,6414000.0
2019-09-27,7423600.0
2020-03-03,5209200.0
2020-05-21,5513800.0
2019-05-14,8915600.0
2018-08-31,9989500.0
2018-07-30,5559400.0
2018-10-02,4852200.0
2019-04-12,5324900.0
2019-03-11,6809100.0
2019-02-07,4740500.0
2019-07-17,5146200.0
2019-09-19,8076600.0
2019-10-21,5802600.0
2019-12-18,6539800.0
2020-03-06,4948800.0
2019-10-03,4514300.0
2020-03-09,5209500.0
2020-05-27,5150700.0
2019-12-24,12937000.0
2020-03-12,5514400.0
2018-12-20,3991800.0
2019-08-01,6523300.0
2018-08-14,12490900.0
2018-07-13,8406600.0
2018-10-17,6862200.0
2019-05-29,6972300.0
2019-03-26,6339200.0
2019-02-22,6493200.0
2019-10-04,4510700.0
2019-11-05,4843600.0
2019-12-27,10913800.0
2020-06-02,4532400.0
2019-12-30,5662600.0
2020-03-18,4764000.0
2020-06-05,5026400.0
2019-07-15,5987700.0
2018-12-03,6588300.0
2019-06-13,6719400.0
2019-01-04,9858200.0
2018-08-29,5989000.0
2019-02-05,5869000.0
2018-11-01,4382900.0
2019-08-16,6100400.0
2019-04-10,4427200.0
2019-09-17,3986000.0
2019-10-15,5611000.0
2020-01-02,4881000.0
