Dates,SO
2018-06-20,4269700.0
2018-06-21,4932800.0
2018-06-25,6345600.0
2018-06-22,6812100.0
2018-06-26,5917300.0
2018-06-27,3929900.0
2018-06-28,5500400.0
2018-06-29,4017100.0
2018-07-02,4198900.0
2018-07-03,2346200.0
2018-07-05,4763200.0
2018-07-16,3550300.0
2018-09-18,4564200.0
2019-01-24,8859400.0
2019-09-05,5138500.0
2018-11-21,6483300.0
2020-01-13,3508100.0
2020-04-01,3172200.0
2020-06-19,2192300.0
2019-10-29,3163800.0
2020-01-16,4496700.0
2020-06-22,4342400.0
2018-10-03,2342800.0
2018-07-31,4285800.0
2019-03-12,3674500.0
2019-02-08,5977700.0
2019-01-07,3439700.0
2018-12-06,3360500.0
2019-08-19,5986100.0
2019-07-18,5303600.0
2019-05-15,4906800.0
2019-09-20,4288600.0
2019-11-01,4468300.0
2020-04-07,4575700.0
2020-06-25,10954000.0
2020-06-16,7202200.0
2019-11-04,6840000.0
2020-01-22,4918200.0
2019-11-07,4402900.0
2020-04-13,6350100.0
2019-07-01,6024400.0
2019-05-30,5421500.0
2018-08-15,4245200.0
2018-10-18,5648200.0
2019-03-27,7524100.0
2019-01-22,5877300.0
2018-12-21,6664300.0
2019-09-03,7225400.0
2018-11-19,6929800.0
2019-08-02,6845900.0
2020-01-28,5573000.0
2020-04-16,6210000.0
2019-11-13,7283500.0
2020-01-31,9068300.0
2018-12-04,11908100.0
2018-11-02,9198200.0
2019-07-16,6248800.0
2018-08-30,6197300.0
2018-10-01,4486500.0
2019-06-14,5140300.0
2019-05-13,5383500.0
2019-04-11,4496000.0
2019-02-06,5845800.0
2019-09-18,7345600.0
2020-02-03,10364700.0
2020-04-22,13119100.0
2019-11-19,9173100.0
2020-02-06,9874500.0
2019-11-22,10275500.0
2019-03-25,9961800.0
2019-02-21,7748800.0
2018-12-19,4762300.0
2018-07-12,5066700.0
2018-09-14,6818000.0
2018-08-13,8156500.0
2018-10-16,6106900.0
2019-07-31,5947300.0
2019-05-28,5865400.0
2019-04-26,7005100.0
2020-04-28,8222900.0
2019-11-25,6174300.0
2020-02-12,6543100.0
2020-05-01,4487600.0
2020-05-04,4176200.0
2019-06-12,4606600.0
2019-04-09,6466500.0
2019-03-08,3815500.0
2019-02-04,5034600.0
2018-07-27,7469400.0
2018-08-28,5570100.0
2019-01-03,7821300.0
2019-08-15,6919600.0
2018-10-31,7970200.0
2019-09-16,8395700.0
2020-02-18,5398200.0
2020-05-07,5800200.0
2018-08-17,5316900.0
2019-12-04,5054200.0
2020-02-21,8829300.0
2018-12-17,5475600.0
2019-08-30,6378300.0
2018-11-15,5580200.0
2019-07-29,5165700.0
2019-06-27,6180800.0
2019-04-24,7808400.0
2018-07-10,7552000.0
2018-09-12,5301300.0
2019-02-19,6324500.0
2019-01-18,6920800.0
2020-02-24,2805400.0
2020-05-13,5739300.0
2019-12-10,6882000.0
2020-02-27,5182600.0
2019-12-13,4810900.0
2020-05-19,7133600.0
2019-03-06,4647500.0
2018-11-30,7202200.0
2019-08-13,8745600.0
2019-07-12,5786900.0
2019-06-10,5023500.0
2019-05-09,5526400.0
2018-07-25,5418900.0
2018-09-27,5298800.0
2018-10-29,3710600.0
2019-10-16,6726300.0
2019-12-16,6184700.0
2020-03-04,8112000.0
2020-05-22,8836400.0
2019-10-01,12739700.0
2019-12-19,5339800.0
2018-09-10,5686400.0
2019-05-24,7048100.0
2018-08-09,4722700.0
2019-04-22,4394000.0
2019-03-21,5756100.0
2019-01-16,9405500.0
2019-08-28,5680700.0
2018-11-13,5397800.0
2018-10-12,7246200.0
2019-06-25,6687600.0
2020-03-10,4634900.0
2020-05-28,6137000.0
2019-10-07,6328900.0
2020-03-13,5433100.0
2019-10-10,5475300.0
2020-03-16,3578600.0
2020-06-03,4015400.0
2018-11-28,5292400.0
2018-09-25,4754800.0
2018-07-23,4812200.0
2018-08-24,4862400.0
2019-07-10,3927000.0
2019-05-07,5205000.0
2019-04-05,3556200.0
2019-03-04,7149000.0
2019-01-31,4216100.0
2019-09-12,4306300.0
2019-12-31,5116600.0
2020-03-19,3224100.0
2020-01-03,4178500.0
2020-06-09,4033100.0
2019-02-15,5158600.0
2019-01-14,3926000.0
2018-07-06,3815300.0
2018-08-07,4007900.0
2018-10-10,4647700.0
2018-12-13,6270500.0
2019-08-26,9627100.0
2019-07-25,8402900.0
2019-05-22,7245500.0
2019-03-19,5728100.0
2020-01-06,6112700.0
2020-03-25,3288500.0
2020-06-12,6105400.0
2019-10-22,4261600.0
2020-01-09,4078700.0
2020-06-15,3951300.0
2019-10-25,3603300.0
2020-03-31,5103300.0
2020-06-18,4039000.0
2019-04-03,5685900.0
