Dates,STE
2018-06-20,319900.0
2018-06-21,370900.0
2018-06-25,594500.0
2018-06-22,344300.0
2018-06-26,1171400.0
2018-06-27,630900.0
2018-06-28,519600.0
2018-06-29,466300.0
2018-07-02,409700.0
2018-07-03,165300.0
2018-07-05,405900.0
2018-07-16,337000.0
2018-09-18,331000.0
2019-01-24,264400.0
2019-09-05,194400.0
2018-11-21,240400.0
2020-01-13,300200.0
2020-04-01,280300.0
2020-06-19,357600.0
2019-10-29,252400.0
2020-01-16,314300.0
2020-06-22,232700.0
2018-10-03,270000.0
2018-07-31,376700.0
2019-03-12,556800.0
2019-02-08,378900.0
2019-01-07,688900.0
2018-12-06,273100.0
2019-08-19,386200.0
2019-07-18,320000.0
2019-05-15,458500.0
2019-09-20,538800.0
2019-11-01,720600.0
2020-04-07,764100.0
2020-06-25,717500.0
2020-06-16,530800.0
2019-11-04,472300.0
2020-01-22,393500.0
2019-11-07,690700.0
2020-04-13,442700.0
2019-07-01,514600.0
2019-05-30,403900.0
2018-08-15,164000.0
2018-10-18,339300.0
2019-03-27,162900.0
2019-01-22,150000.0
2018-12-21,305000.0
2019-09-03,232000.0
2018-11-19,212200.0
2019-08-02,160000.0
2020-01-28,258900.0
2020-04-16,205700.0
2019-11-13,196600.0
2020-01-31,199500.0
2018-12-04,215400.0
2018-11-02,198900.0
2019-07-16,184900.0
2018-08-30,250000.0
2018-10-01,241000.0
2019-06-14,262400.0
2019-05-13,477300.0
2019-04-11,360000.0
2019-02-06,417000.0
2019-09-18,215800.0
2020-02-03,277500.0
2020-04-22,546200.0
2019-11-19,286800.0
2020-02-06,271300.0
2019-11-22,252400.0
2019-03-25,336100.0
2019-02-21,274800.0
2018-12-19,303300.0
2018-07-12,276800.0
2018-09-14,221900.0
2018-08-13,337700.0
2018-10-16,318400.0
2019-07-31,378900.0
2019-05-28,351000.0
2019-04-26,402300.0
2020-04-28,670400.0
2019-11-25,469300.0
2020-02-12,307200.0
2020-05-01,338800.0
2020-05-04,264100.0
2019-06-12,290200.0
2019-04-09,332600.0
2019-03-08,310600.0
2019-02-04,409000.0
2018-07-27,515300.0
2018-08-28,602200.0
2019-01-03,307200.0
2019-08-15,345300.0
2018-10-31,326900.0
2019-09-16,449900.0
2020-02-18,498300.0
2020-05-07,280100.0
2018-08-17,350500.0
2019-12-04,754100.0
2020-02-21,630000.0
2018-12-17,521400.0
2019-08-30,495900.0
2018-11-15,500000.0
2019-07-29,419700.0
2019-06-27,503700.0
2019-04-24,348700.0
2018-07-10,703600.0
2018-09-12,343500.0
2019-02-19,483300.0
2019-01-18,334100.0
2020-02-24,111000.0
2020-05-13,427900.0
2019-12-10,279600.0
2020-02-27,645300.0
2019-12-13,579600.0
2020-05-19,516600.0
2019-03-06,479300.0
2018-11-30,387600.0
2019-08-13,647900.0
2019-07-12,536000.0
2019-06-10,340900.0
2019-05-09,429700.0
2018-07-25,469400.0
2018-09-27,317200.0
2018-10-29,577400.0
2019-10-16,438300.0
2019-12-16,570100.0
2020-03-04,386000.0
2020-05-22,593900.0
2019-10-01,1196500.0
2019-12-19,232700.0
2018-09-10,661800.0
2019-05-24,416500.0
2018-08-09,387200.0
2019-04-22,360100.0
2019-03-21,323100.0
2019-01-16,312600.0
2019-08-28,569100.0
2018-11-13,386800.0
2018-10-12,454900.0
2019-06-25,316400.0
2020-03-10,219800.0
2020-05-28,410300.0
2019-10-07,284600.0
2020-03-13,424900.0
2019-10-10,369500.0
2020-03-16,526100.0
2020-06-03,477100.0
2018-11-28,251500.0
2018-09-25,354100.0
2018-07-23,328200.0
2018-08-24,327400.0
2019-07-10,451000.0
2019-05-07,473800.0
2019-04-05,364000.0
2019-03-04,545800.0
2019-01-31,349600.0
2019-09-12,291500.0
2019-12-31,559400.0
2020-03-19,529400.0
2020-01-03,553100.0
2020-06-09,355900.0
2019-02-15,789400.0
2019-01-14,1029300.0
2018-07-06,578700.0
2018-08-07,419800.0
2018-10-10,311900.0
2018-12-13,373300.0
2019-08-26,277000.0
2019-07-25,317400.0
2019-05-22,362000.0
2019-03-19,479000.0
2020-01-06,300300.0
2020-03-25,272600.0
2020-06-12,395100.0
2019-10-22,349600.0
2020-01-09,356200.0
2020-06-15,175400.0
2019-10-25,460700.0
2020-03-31,199900.0
2020-06-18,344500.0
2019-04-03,219500.0
2018-08-22,260200.0
2018-10-25,578100.0
2019-01-29,381200.0
2018-12-28,650400.0
2018-11-26,539900.0
2019-08-09,168200.0
2019-07-08,262100.0
2019-06-06,496300.0
2019-09-10,272800.0
2020-01-15,331500.0
2020-04-03,336000.0
2019-10-31,399400.0
2020-04-06,219300.0
2020-06-24,352700.0
2018-11-09,296700.0
2019-07-23,259300.0
2019-06-21,372700.0
2019-05-20,323400.0
2019-04-18,477700.0
2018-09-06,694000.0
2018-10-08,291500.0
2019-02-13,511900.0
2018-12-11,436700.0
2019-09-25,377900.0
2020-01-21,388900.0
2020-04-09,443400.0
2019-11-06,897300.0
2020-01-24,641100.0
2020-01-27,359400.0
2020-04-15,438300.0
2018-12-26,372500.0
2019-08-07,230400.0
2019-06-04,279000.0
2018-09-21,575300.0
2018-07-19,335500.0
2018-08-20,387800.0
2018-10-23,352500.0
2019-05-03,476400.0
2019-04-01,629100.0
2019-02-28,493600.0
2019-11-12,845200.0
2020-01-30,410700.0
2019-11-15,866200.0
2020-04-21,552600.0
2019-04-16,1053600.0
2019-03-15,502800.0
2019-02-11,596400.0
2019-01-10,419000.0
2019-08-22,554400.0
2018-11-07,703500.0
2018-08-03,442300.0
2018-09-04,486500.0
2019-06-19,530400.0
2019-09-23,4043700.0
2019-11-18,527800.0
2020-02-05,502500.0
2020-04-24,668600.0
2019-03-29,514300.0
2019-11-21,576400.0
2020-04-27,605800.0
2020-02-11,490500.0
2020-04-30,535400.0
2019-05-01,410000.0
2019-02-26,472600.0
2019-01-25,585500.0
2018-12-24,436700.0
2019-09-06,278800.0
2018-07-17,337400.0
2018-09-19,332200.0
2019-08-05,392200.0
2019-10-08,242100.0
2019-12-11,1515500.0
2019-11-27,425500.0
2020-02-14,465100.0
2020-05-06,496200.0
2019-01-08,605000.0
2018-12-07,1001200.0
2019-08-20,608200.0
2018-11-05,490000.0
2019-07-19,534900.0
2018-10-04,272300.0
2019-06-17,332900.0
2019-05-16,429600.0
2018-08-01,537900.0
2019-03-13,649400.0
2019-12-03,716800.0
2020-02-20,428100.0
2019-12-06,316800.0
2020-05-12,341000.0
2019-12-09,651600.0
2020-02-26,473000.0
2020-05-15,345700.0
2019-03-28,426500.0
2018-09-17,395300.0
2018-08-16,345400.0
2018-10-19,339700.0
2019-04-29,257400.0
2019-01-23,408800.0
2019-09-04,493000.0
2018-11-20,330000.0
2019-07-02,277800.0
2019-05-31,363900.0
2019-12-12,660500.0
2020-05-18,783800.0
2019-09-27,674800.0
2020-03-03,262800.0
2020-05-21,180200.0
2019-05-14,334700.0
2018-08-31,239100.0
2018-07-30,372200.0
2018-10-02,344700.0
2019-04-12,337700.0
2019-03-11,548600.0
2019-02-07,782400.0
2019-07-17,450200.0
2019-09-19,365900.0
2019-10-21,411900.0
2019-12-18,726000.0
2020-03-06,466400.0
2019-10-03,305700.0
2020-03-09,332600.0
2020-05-27,342500.0
2019-12-24,317200.0
2020-03-12,489400.0
2018-12-20,494700.0
2019-08-01,677700.0
2018-08-14,1094200.0
2018-07-13,867500.0
2018-10-17,488400.0
2019-05-29,636200.0
2019-03-26,501100.0
2019-02-22,564900.0
2019-10-04,983600.0
2019-11-05,428300.0
2019-12-27,1435800.0
2020-06-02,827100.0
2019-12-30,417100.0
2020-03-18,356900.0
2020-06-05,445700.0
2019-07-15,327100.0
2018-12-03,385400.0
2019-06-13,360000.0
2019-01-04,452700.0
2018-08-29,446000.0
2019-02-05,347100.0
2018-11-01,256000.0
2019-08-16,253700.0
2019-04-10,305500.0
2019-09-17,422200.0
2019-10-15,331600.0
2020-01-02,171500.0
2020-06-08,448300.0
2019-10-18,483300.0
2020-03-24,532100.0
2020-06-11,901200.0
2020-01-08,486500.0
2019-04-25,739200.0
2019-07-30,468600.0
2019-02-20,356500.0
2018-07-11,332700.0
2018-09-13,304100.0
2018-10-15,247400.0
2019-06-28,359500.0
2018-12-18,367400.0
2018-11-16,312600.0
2019-10-02,416000.0
2020-03-27,878500.0
2020-01-10,490100.0
2019-10-24,481600.0
2020-03-30,282700.0
2020-06-17,373400.0
2020-01-14,275400.0
2020-04-02,265000.0
2019-01-02,296100.0
2019-08-14,319200.0
2018-10-30,398000.0
2019-06-11,385700.0
2019-05-10,635400.0
2019-04-08,329000.0
2018-08-27,494000.0
2018-07-26,285600.0
2018-09-28,445100.0
2019-03-07,260200.0
2019-10-30,237200.0
2020-01-17,308100.0
2020-06-23,406900.0
2020-04-08,473400.0
2020-06-26,338700.0
2019-03-22,340800.0
2019-01-17,279300.0
2019-08-29,304100.0
2018-11-14,440000.0
2019-06-26,410400.0
2018-09-11,503200.0
2018-07-09,1253500.0
2018-08-10,758900.0
2019-04-23,753900.0
2019-09-30,1200200.0
2020-01-23,14904400.0
2019-11-08,786300.0
2020-04-14,137700.0
2019-11-11,649300.0
2020-01-29,433400.0
2020-04-17,600500.0
2018-07-24,330200.0
2018-09-26,641200.0
2019-05-08,638000.0
2019-03-05,581900.0
2019-02-01,429900.0
2018-12-31,839000.0
2018-11-29,644100.0
2019-08-12,432000.0
2019-07-11,522700.0
2019-09-13,519500.0
2019-11-14,550300.0
2020-04-20,399300.0
2020-02-04,628100.0
2020-04-23,521200.0
2018-12-14,369800.0
2019-08-27,399100.0
2018-08-08,486500.0
2018-10-11,831200.0
