Dates,TFX
2018-06-20,265600.0
2018-06-21,241800.0
2018-06-25,450500.0
2018-06-22,175700.0
2018-06-26,319600.0
2018-06-27,315800.0
2018-06-28,213700.0
2018-06-29,296100.0
2018-07-02,209800.0
2018-07-03,86800.0
2018-07-05,156200.0
2018-07-16,161300.0
2018-09-18,158800.0
2019-01-24,144100.0
2019-09-05,129600.0
2018-11-21,110600.0
2020-01-13,149100.0
2020-04-01,206600.0
2020-06-19,165600.0
2019-10-29,127300.0
2020-01-16,211500.0
2020-06-22,126400.0
2018-10-03,109000.0
2018-07-31,110700.0
2019-03-12,126100.0
2019-02-08,165900.0
2019-01-07,155300.0
2018-12-06,199700.0
2019-08-19,294800.0
2019-07-18,208700.0
2019-05-15,1451100.0
2019-09-20,547000.0
2019-11-01,451200.0
2020-04-07,419900.0
2020-06-25,310800.0
2020-06-16,228700.0
2019-11-04,206900.0
2020-01-22,310800.0
2019-11-07,151300.0
2020-04-13,556500.0
2019-07-01,336300.0
2019-05-30,255200.0
2018-08-15,346200.0
2018-10-18,306500.0
2019-03-27,390600.0
2019-01-22,200900.0
2018-12-21,243500.0
2019-09-03,255300.0
2018-11-19,211500.0
2019-08-02,219200.0
2020-01-28,230800.0
2020-04-16,261200.0
2019-11-13,323400.0
2020-01-31,499900.0
2018-12-04,307100.0
2018-11-02,353700.0
2019-07-16,483000.0
2018-08-30,300700.0
2018-10-01,503200.0
2019-06-14,451700.0
2019-05-13,455600.0
2019-04-11,517800.0
2019-02-06,365600.0
2019-09-18,488400.0
2020-02-03,480700.0
2020-04-22,512700.0
2019-11-19,319700.0
2020-02-06,465100.0
2019-11-22,313300.0
2019-03-25,193500.0
2019-02-21,320500.0
2018-12-19,168500.0
2018-07-12,259100.0
2018-09-14,256600.0
2018-08-13,295800.0
2018-10-16,227600.0
2019-07-31,260200.0
2019-05-28,181000.0
2019-04-26,509400.0
2020-04-28,355400.0
2019-11-25,332200.0
2020-02-12,255700.0
2020-05-01,332800.0
2020-05-04,376900.0
2019-06-12,365100.0
2019-04-09,244300.0
2019-03-08,238400.0
2019-02-04,300100.0
2018-07-27,244500.0
2018-08-28,270400.0
2019-01-03,265400.0
2019-08-15,572700.0
2018-10-31,389300.0
2019-09-16,459200.0
2020-02-18,978200.0
2020-05-07,597000.0
2018-08-17,365800.0
2019-12-04,190800.0
2020-02-21,368200.0
2018-12-17,233000.0
2019-08-30,285000.0
2018-11-15,298300.0
2019-07-29,219000.0
2019-06-27,206800.0
2019-04-24,217100.0
2018-07-10,254600.0
2018-09-12,242200.0
2019-02-19,232900.0
2019-01-18,172300.0
2020-02-24,89900.0
2020-05-13,265500.0
2019-12-10,159800.0
2020-02-27,238400.0
2019-12-13,243500.0
2020-05-19,358400.0
2019-03-06,233900.0
2018-11-30,313800.0
2019-08-13,222000.0
2019-07-12,263100.0
2019-06-10,303300.0
2019-05-09,203100.0
2018-07-25,220300.0
2018-09-27,177200.0
2018-10-29,360000.0
2019-10-16,259300.0
2019-12-16,189400.0
2020-03-04,265600.0
2020-05-22,316600.0
2019-10-01,514100.0
2019-12-19,200200.0
2018-09-10,224300.0
2019-05-24,545400.0
2018-08-09,480200.0
2019-04-22,286600.0
2019-03-21,350500.0
2019-01-16,288700.0
2019-08-28,405100.0
2018-11-13,201000.0
2018-10-12,222100.0
2019-06-25,204100.0
2020-03-10,147000.0
2020-05-28,197900.0
2019-10-07,262300.0
2020-03-13,171900.0
2019-10-10,1311600.0
2020-03-16,12248500.0
2020-06-03,646200.0
2018-11-28,354300.0
2018-09-25,350800.0
2018-07-23,270400.0
2018-08-24,307700.0
2019-07-10,347000.0
2019-05-07,226200.0
2019-04-05,327200.0
2019-03-04,319300.0
2019-01-31,245500.0
2019-09-12,299200.0
2019-12-31,234600.0
2020-03-19,279100.0
2020-01-03,316900.0
2020-06-09,246400.0
2019-02-15,213900.0
2019-01-14,346400.0
2018-07-06,203300.0
2018-08-07,188600.0
2018-10-10,256500.0
2018-12-13,450500.0
2019-08-26,246900.0
2019-07-25,605300.0
2019-05-22,307000.0
2019-03-19,293400.0
2020-01-06,166700.0
2020-03-25,117700.0
2020-06-12,177600.0
2019-10-22,241300.0
2020-01-09,362600.0
2020-06-15,214800.0
2019-10-25,207200.0
2020-03-31,231000.0
2020-06-18,313400.0
2019-04-03,217400.0
2018-08-22,229600.0
2018-10-25,314600.0
2019-01-29,227700.0
2018-12-28,655000.0
2018-11-26,300800.0
2019-08-09,217100.0
2019-07-08,281600.0
2019-06-06,218200.0
2019-09-10,151600.0
2020-01-15,299000.0
2020-04-03,281700.0
2019-10-31,190600.0
2020-04-06,178000.0
2020-06-24,235100.0
2018-11-09,268700.0
2019-07-23,123300.0
2019-06-21,252400.0
2019-05-20,124000.0
2019-04-18,146700.0
2018-09-06,108100.0
2018-10-08,102600.0
2019-02-13,161300.0
2018-12-11,134100.0
2019-09-25,244400.0
2020-01-21,203900.0
2020-04-09,251900.0
2019-11-06,389700.0
2020-01-24,382600.0
2020-01-27,288900.0
2020-04-15,327400.0
2018-12-26,343600.0
2019-08-07,229200.0
2019-06-04,244600.0
2018-09-21,252200.0
2018-07-19,273100.0
2018-08-20,322400.0
2018-10-23,482700.0
2019-05-03,399700.0
2019-04-01,335800.0
2019-02-28,411100.0
2019-11-12,252300.0
2020-01-30,227700.0
2019-11-15,262300.0
2020-04-21,253700.0
2019-04-16,169900.0
2019-03-15,198500.0
2019-02-11,331000.0
2019-01-10,287900.0
2019-08-22,243600.0
2018-11-07,168700.0
2018-08-03,97100.0
2018-09-04,170400.0
2019-06-19,232700.0
2019-09-23,141200.0
2019-11-18,200900.0
2020-02-05,170800.0
2020-04-24,327600.0
2019-03-29,374700.0
2019-11-21,241700.0
2020-04-27,198500.0
2020-02-11,194400.0
2020-04-30,140900.0
2019-05-01,180600.0
2019-02-26,130300.0
2019-01-25,192700.0
2018-12-24,313900.0
2019-09-06,342300.0
2018-07-17,260500.0
2018-09-19,305200.0
2019-08-05,209200.0
2019-10-08,187500.0
2019-12-11,275100.0
2019-11-27,223700.0
2020-02-14,242400.0
2020-05-06,329300.0
2019-01-08,198900.0
2018-12-07,1163300.0
2019-08-20,401200.0
2018-11-05,152900.0
2019-07-19,140400.0
2018-10-04,105200.0
2019-06-17,153100.0
2019-05-16,180100.0
2018-08-01,203000.0
2019-03-13,160500.0
2019-12-03,210000.0
2020-02-20,153800.0
2019-12-06,207400.0
2020-05-12,191200.0
2019-12-09,169100.0
2020-02-26,185700.0
2020-05-15,139500.0
2019-03-28,121700.0
2018-09-17,115000.0
2018-08-16,193200.0
2018-10-19,185000.0
2019-04-29,327700.0
2019-01-23,238900.0
2019-09-04,278700.0
2018-11-20,502400.0
2019-07-02,427700.0
2019-05-31,268700.0
2019-12-12,313300.0
2020-05-18,249500.0
2019-09-27,221700.0
2020-03-03,179200.0
2020-05-21,303800.0
2019-05-14,369300.0
2018-08-31,331700.0
2018-07-30,301500.0
2018-10-02,154400.0
2019-04-12,166200.0
2019-03-11,217600.0
2019-02-07,321400.0
2019-07-17,315700.0
2019-09-19,232000.0
2019-10-21,224700.0
2019-12-18,344800.0
2020-03-06,212600.0
2019-10-03,165800.0
2020-03-09,213800.0
2020-05-27,154300.0
2019-12-24,246600.0
2020-03-12,233700.0
2018-12-20,169400.0
2019-08-01,289500.0
2018-08-14,528900.0
2018-07-13,255000.0
2018-10-17,268000.0
2019-05-29,287200.0
2019-03-26,218100.0
2019-02-22,318800.0
2019-10-04,260900.0
2019-11-05,181600.0
2019-12-27,530800.0
2020-06-02,368400.0
2019-12-30,332100.0
2020-03-18,201100.0
2020-06-05,145800.0
2019-07-15,214700.0
2018-12-03,288400.0
2019-06-13,194000.0
2019-01-04,321000.0
2018-08-29,214000.0
2019-02-05,230100.0
2018-11-01,192400.0
2019-08-16,319700.0
2019-04-10,193900.0
2019-09-17,348300.0
2019-10-15,243900.0
2020-01-02,214900.0
2020-06-08,207800.0
2019-10-18,200900.0
2020-03-24,205900.0
2020-06-11,142600.0
2020-01-08,244300.0
2019-04-25,192300.0
2019-07-30,216400.0
2019-02-20,210900.0
2018-07-11,137700.0
2018-09-13,162900.0
2018-10-15,209300.0
2019-06-28,230400.0
2018-12-18,523400.0
2018-11-16,478800.0
2019-10-02,285500.0
2020-03-27,348300.0
2020-01-10,356300.0
2019-10-24,427200.0
2020-03-30,342500.0
2020-06-17,330100.0
2020-01-14,206000.0
2020-04-02,306100.0
2019-01-02,245400.0
2019-08-14,276500.0
2018-10-30,337400.0
2019-06-11,405200.0
2019-05-10,256000.0
2019-04-08,157700.0
2018-08-27,233100.0
2018-07-26,276800.0
2018-09-28,295600.0
2019-03-07,164100.0
2019-10-30,119300.0
2020-01-17,143600.0
2020-06-23,134600.0
2020-04-08,148900.0
2020-06-26,344300.0
2019-03-22,557600.0
2019-01-17,243200.0
2019-08-29,184600.0
2018-11-14,229000.0
2019-06-26,224300.0
2018-09-11,142400.0
2018-07-09,194100.0
2018-08-10,206900.0
2019-04-23,226600.0
2019-09-30,294200.0
2020-01-23,260400.0
2019-11-08,135500.0
2020-04-14,43500.0
2019-11-11,72000.0
2020-01-29,118300.0
2020-04-17,145700.0
2018-07-24,167100.0
2018-09-26,262900.0
2019-05-08,167700.0
2019-03-05,170000.0
2019-02-01,127300.0
2018-12-31,178100.0
2018-11-29,307000.0
2019-08-12,229500.0
2019-07-11,148600.0
2019-09-13,176600.0
2019-11-14,152400.0
2020-04-20,132200.0
2020-02-04,164900.0
2020-04-23,260400.0
2018-12-14,173300.0
2019-08-27,138200.0
2018-08-08,98000.0
2018-10-11,114100.0
2018-11-12,125800.0
2019-07-26,145400.0
2019-06-24,167200.0
2019-05-23,147600.0
2019-03-20,261900.0
2019-01-15,142300.0
2019-11-20,103400.0
