Dates,TWTR
2018-06-20,31230200.0
2018-06-21,32200300.0
2018-06-25,28628900.0
2018-06-22,31379300.0
2018-06-26,20194100.0
2018-06-27,25875500.0
2018-06-28,18911200.0
2018-06-29,24392900.0
2018-07-02,16703600.0
2018-07-03,14237500.0
2018-07-05,16172000.0
2018-07-16,23740700.0
2018-09-18,107582400.0
2019-01-24,38467400.0
2019-09-05,35100100.0
2018-11-21,27078500.0
2020-01-13,16426700.0
2020-04-01,13012800.0
2020-06-19,20122300.0
2019-10-29,26536800.0
2020-01-16,13366800.0
2020-06-22,10437700.0
2018-10-03,15251200.0
2018-07-31,22433900.0
2019-03-12,25140700.0
2019-02-08,30018700.0
2019-01-07,122752800.0
2018-12-06,77852400.0
2019-08-19,64392200.0
2019-07-18,33231700.0
2019-05-15,27088000.0
2019-09-20,26317000.0
2019-11-01,27512400.0
2020-04-07,24635600.0
2020-06-25,22539400.0
2020-06-16,17662100.0
2019-11-04,16073900.0
2020-01-22,44235300.0
2019-11-07,26442600.0
2020-04-13,26433400.0
2019-07-01,20873200.0
2019-05-30,14874600.0
2018-08-15,16535700.0
2018-10-18,29575700.0
2019-03-27,18576300.0
2019-01-22,25746300.0
2018-12-21,15214000.0
2019-09-03,28306300.0
2018-11-19,22281600.0
2019-08-02,17697200.0
2020-01-28,19217200.0
2020-04-16,19073900.0
2019-11-13,13567600.0
2020-01-31,36051100.0
2018-12-04,36023600.0
2018-11-02,31484200.0
2019-07-16,17805800.0
2018-08-30,16000100.0
2018-10-01,29845200.0
2019-06-14,18522500.0
2019-05-13,13474700.0
2019-04-11,30592300.0
2019-02-06,15856800.0
2019-09-18,16023500.0
2020-02-03,15378000.0
2020-04-22,43122600.0
2019-11-19,20249000.0
2020-02-06,16130300.0
2019-11-22,12742100.0
2019-03-25,14830500.0
2019-02-21,22719600.0
2018-12-19,20538900.0
2018-07-12,17714400.0
2018-09-14,19358700.0
2018-08-13,21120400.0
2018-10-16,28996100.0
2019-07-31,22114400.0
2019-05-28,22749300.0
2019-04-26,40399400.0
2020-04-28,33065300.0
2019-11-25,27127500.0
2020-02-12,20225200.0
2020-05-01,18443000.0
2020-05-04,19379400.0
2019-06-12,24174300.0
2019-04-09,20112900.0
2019-03-08,21719400.0
2019-02-04,26503600.0
2018-07-27,37910200.0
2018-08-28,79251000.0
2019-01-03,47747000.0
2019-08-15,40899900.0
2018-10-31,43678200.0
2019-09-16,33063700.0
2020-02-18,27498000.0
2020-05-07,23994800.0
2018-08-17,18214300.0
2019-12-04,15508300.0
2020-02-21,16802100.0
2018-12-17,15146400.0
2019-08-30,16034700.0
2018-11-15,18147500.0
2019-07-29,17206300.0
2019-06-27,19448700.0
2019-04-24,16824800.0
2018-07-10,17904100.0
2018-09-12,15745000.0
2019-02-19,20927600.0
2019-01-18,16466900.0
2020-02-24,5813900.0
2020-05-13,17096000.0
2019-12-10,10727400.0
2020-02-27,19073300.0
2019-12-13,50505700.0
2020-05-19,25833200.0
2019-03-06,24027100.0
2018-11-30,22472000.0
2019-08-13,25922800.0
2019-07-12,29497100.0
2019-06-10,19971100.0
2019-05-09,30118600.0
2018-07-25,32608500.0
2018-09-27,22831600.0
2018-10-29,19528500.0
2019-10-16,23880900.0
2019-12-16,18885100.0
2020-03-04,24784300.0
2020-05-22,51983000.0
2019-10-01,38714100.0
2019-12-19,18208300.0
2018-09-10,35529600.0
2019-05-24,31987700.0
2018-08-09,21820500.0
2019-04-22,15975000.0
2019-03-21,15053700.0
2019-01-16,19051700.0
2019-08-28,23412600.0
2018-11-13,19917800.0
2018-10-12,18915200.0
2019-06-25,14554400.0
2020-03-10,30504500.0
2020-05-28,17732300.0
2019-10-07,9523000.0
2020-03-13,13548200.0
2019-10-10,10130200.0
2020-03-16,12059700.0
2020-06-03,16776800.0
2018-11-28,17780800.0
2018-09-25,21084400.0
2018-07-23,12470400.0
2018-08-24,22513700.0
2019-07-10,21750800.0
2019-05-07,18849800.0
2019-04-05,17142500.0
2019-03-04,21211300.0
2019-01-31,18816600.0
2019-09-12,14244100.0
2019-12-31,17610200.0
2020-03-19,34058000.0
2020-01-03,69764100.0
2020-06-09,40669800.0
2019-02-15,28838200.0
2019-01-14,20315300.0
2018-07-06,29683300.0
2018-08-07,15321100.0
2018-10-10,17591500.0
2018-12-13,14391700.0
2019-08-26,16871100.0
2019-07-25,13944900.0
2019-05-22,15413400.0
2019-03-19,15061300.0
2020-01-06,17519100.0
2020-03-25,24639100.0
2020-06-12,15242900.0
2019-10-22,12360700.0
2020-01-09,15920400.0
2020-06-15,13073500.0
2019-10-25,10938600.0
2020-03-31,15779900.0
2020-06-18,11964300.0
2019-04-03,16013200.0
2018-08-22,12324300.0
2018-10-25,10201300.0
2019-01-29,12090600.0
2018-12-28,17522700.0
2018-11-26,13172600.0
2019-08-09,15557400.0
2019-07-08,22373800.0
2019-06-06,13346900.0
2019-09-10,28034700.0
2020-01-15,15272300.0
2020-04-03,17252300.0
2019-10-31,13669400.0
2020-04-06,17750600.0
2020-06-24,13529300.0
2018-11-09,12499700.0
2019-07-23,11638000.0
2019-06-21,18041000.0
2019-05-20,14604100.0
2019-04-18,9571700.0
2018-09-06,10655000.0
2018-10-08,13889700.0
2019-02-13,11648800.0
2018-12-11,10982700.0
