Dates,UAA
2018-06-20,3712900.0
2018-06-21,2584500.0
2018-06-25,4240900.0
2018-06-22,3748000.0
2018-06-26,4705900.0
2018-06-27,5940100.0
2018-06-28,4329500.0
2018-06-29,6601100.0
2018-07-02,4331000.0
2018-07-03,2077200.0
2018-07-05,4117200.0
2018-07-16,2711300.0
2018-09-18,3253200.0
2019-01-24,3081400.0
2019-09-05,3158100.0
2018-11-21,3835300.0
2020-01-13,5942200.0
2020-04-01,4256700.0
2020-06-19,3388300.0
2019-10-29,3308700.0
2020-01-16,2888000.0
2020-06-22,4064300.0
2018-10-03,4461400.0
2018-07-31,5317200.0
2019-03-12,6632300.0
2019-02-08,11453400.0
2019-01-07,9373900.0
2018-12-06,4351400.0
2019-08-19,6254500.0
2019-07-18,6727000.0
2019-05-15,5681800.0
2019-09-20,5388500.0
2019-11-01,4472000.0
2020-04-07,3246000.0
2020-06-25,3525100.0
2020-06-16,3155200.0
2019-11-04,3238200.0
2020-01-22,6181400.0
2019-11-07,3821200.0
2020-04-13,4268800.0
2019-07-01,1922200.0
2019-05-30,3283400.0
2018-08-15,3326900.0
2018-10-18,3243400.0
2019-03-27,3095700.0
2019-01-22,2507300.0
2018-12-21,2586000.0
2019-09-03,4599400.0
2018-11-19,2339000.0
2019-08-02,11250700.0
2020-01-28,2955000.0
2020-04-16,3161300.0
2019-11-13,4247400.0
2020-01-31,3082800.0
2018-12-04,2513800.0
2018-11-02,3670800.0
2019-07-16,2080600.0
2018-08-30,2295800.0
2018-10-01,2530800.0
2019-06-14,2590100.0
2019-05-13,4946800.0
2019-04-11,3659700.0
2019-02-06,4111800.0
2019-09-18,3383700.0
2020-02-03,11570100.0
2020-04-22,10662800.0
2019-11-19,5137800.0
2020-02-06,4276400.0
2019-11-22,5303400.0
2019-03-25,2719800.0
2019-02-21,5606100.0
2018-12-19,4232500.0
2018-07-12,8468600.0
2018-09-14,3391500.0
2018-08-13,4674300.0
2018-10-16,4358400.0
2019-07-31,2754500.0
2019-05-28,3154600.0
2019-04-26,5317000.0
2020-04-28,6832600.0
2019-11-25,5112600.0
2020-02-12,3572400.0
2020-05-01,3806000.0
2020-05-04,3101500.0
2019-06-12,3429800.0
2019-04-09,3837000.0
2019-03-08,3825700.0
2019-02-04,6773900.0
2018-07-27,3766700.0
2018-08-28,4320400.0
2019-01-03,5912000.0
2019-08-15,8461400.0
2018-10-31,32432600.0
2019-09-16,13280400.0
2020-02-18,8297400.0
2020-05-07,6022600.0
2018-08-17,8996700.0
2019-12-04,4987700.0
2020-02-21,4292200.0
2018-12-17,3226600.0
2019-08-30,3456800.0
2018-11-15,3776800.0
2019-07-29,4122500.0
2019-06-27,4059000.0
2019-04-24,4795700.0
