Dates,WHR
2018-06-20,147.86000061035156
2018-06-21,145.44000244140625
2018-06-25,144.9600067138672
2018-06-22,144.74000549316406
2018-06-26,145.19000244140625
2018-06-27,147.41000366210938
2018-06-28,145.97999572753906
2018-06-29,147.75
2018-07-02,147.1699981689453
2018-07-03,148.22999572753906
2018-07-05,149.07000732421875
2018-07-16,151.25999450683594
2018-09-18,155.27999877929688
2019-01-24,155.0
2019-09-05,155.08999633789062
2018-11-21,155.67999267578125
2020-01-13,156.50999450683594
2020-04-01,154.75
2020-06-19,154.36000061035156
2019-10-29,150.9499969482422
2020-01-16,152.69000244140625
2020-06-22,154.7899932861328
2018-10-03,152.6999969482422
2018-07-31,135.8000030517578
2019-03-12,128.5500030517578
2019-02-08,127.80000305175781
2019-01-07,130.10000610351562
2018-12-06,129.44000244140625
2019-08-19,131.64999389648438
2019-07-18,131.6999969482422
2019-05-15,132.7899932861328
2019-09-20,135.97999572753906
2019-11-01,135.19000244140625
2020-04-07,133.52000427246094
2020-06-25,132.25999450683594
2020-06-16,133.64999389648438
2019-11-04,130.0800018310547
2020-01-22,127.08000183105469
2019-11-07,125.12999725341797
2020-04-13,124.8499984741211
2019-07-01,128.1300048828125
2019-05-30,128.25
2018-08-15,128.47999572753906
2018-10-18,131.3300018310547
2019-03-27,130.14999389648438
2019-01-22,128.5
2018-12-21,127.5199966430664
2019-09-03,131.77999877929688
2018-11-19,131.9499969482422
2019-08-02,130.5500030517578
2020-01-28,129.05999755859375
2020-04-16,126.43000030517578
2019-11-13,124.87000274658203
2020-01-31,127.38999938964844
2018-12-04,129.2100067138672
2018-11-02,126.70999908447266
2019-07-16,127.26000213623047
2018-08-30,127.0
2018-10-01,125.9000015258789
2019-06-14,125.37000274658203
2019-05-13,125.69000244140625
2019-04-11,125.29000091552734
2019-02-06,123.25
2019-09-18,125.04000091552734
2020-02-03,125.08999633789062
2020-04-22,124.45999908447266
2019-11-19,124.5
2020-02-06,121.93000030517578
2019-11-22,122.2300033569336
2019-03-25,120.45999908447266
2019-02-21,119.44000244140625
2018-12-19,119.95999908447266
2018-07-12,117.97000122070312
2018-09-14,116.73999786376953
2018-08-13,115.22000122070312
2018-10-16,115.55999755859375
2019-07-31,112.8499984741211
2019-05-28,111.0
2019-04-26,107.37999725341797
2020-04-28,107.26000213623047
2019-11-25,105.93000030517578
2020-02-12,106.97000122070312
2020-05-01,108.93000030517578
2020-05-04,109.4800033569336
2019-06-12,108.83000183105469
2019-04-09,108.13999938964844
2019-03-08,107.69999694824219
2019-02-04,110.55999755859375
2018-07-27,111.30999755859375
2018-08-28,112.9800033569336
2019-01-03,109.19999694824219
2019-08-15,107.87000274658203
2018-10-31,111.68000030517578
2019-09-16,112.83999633789062
2020-02-18,115.30999755859375
2020-05-07,117.7300033569336
2018-08-17,116.69000244140625
2019-12-04,117.22000122070312
2020-02-21,117.13999938964844
2018-12-17,118.0999984741211
2019-08-30,117.83000183105469
2018-11-15,116.95999908447266
2019-07-29,118.30999755859375
2019-06-27,118.31999969482422
2019-04-24,114.54000091552734
2018-07-10,117.7699966430664
2018-09-12,119.58999633789062
2019-02-19,120.4000015258789
2019-01-18,121.81999969482422
2020-02-24,121.86000061035156
2020-05-13,125.52999877929688
2019-12-10,125.47000122070312
2020-02-27,126.43000030517578
2019-12-13,127.36000061035156
2020-05-19,126.61000061035156
2019-03-06,128.3000030517578
2018-11-30,126.7300033569336
2019-08-13,121.68000030517578
2019-07-12,122.83999633789062
2019-06-10,120.7699966430664
2019-05-09,118.5199966430664
2018-07-25,118.83999633789062
2018-09-27,118.58000183105469
2018-10-29,117.0
2019-10-16,115.55000305175781
2019-12-16,114.54000091552734
2020-03-04,115.62999725341797
2020-05-22,112.41000366210938
2019-10-01,111.9000015258789
2019-12-19,104.8499984741211
2018-09-10,106.05000305175781
2019-05-24,106.72000122070312
2018-08-09,109.37000274658203
2019-04-22,108.55999755859375
2019-03-21,109.44999694824219
2019-01-16,108.77999877929688
2019-08-28,113.63999938964844
2018-11-13,118.02999877929688
2018-10-12,119.13999938964844
2019-06-25,122.5
2020-03-10,122.91999816894531
2020-05-28,123.66999816894531
2019-10-07,124.87999725341797
2020-03-13,124.94000244140625
2019-10-10,124.6500015258789
2020-03-16,126.27999877929688
2020-06-03,127.9800033569336
2018-11-28,127.2300033569336
2018-09-25,126.51000213623047
2018-07-23,123.31999969482422
2018-08-24,126.30000305175781
2019-07-10,126.19000244140625
2019-05-07,137.30999755859375
2019-04-05,134.69000244140625
2019-03-04,134.89999389648438
2019-01-31,135.3699951171875
2019-09-12,135.6999969482422
2019-12-31,137.57000732421875
2020-03-19,136.0
2020-01-03,135.38999938964844
2020-06-09,134.35000610351562
2019-02-15,133.8300018310547
2019-01-14,137.66000366210938
2018-07-06,138.47000122070312
2018-08-07,139.14999389648438
2018-10-10,140.9499969482422
2018-12-13,142.2100067138672
2019-08-26,144.44000244140625
2019-07-25,144.27000427246094
2019-05-22,145.6999969482422
2019-03-19,146.8000030517578
2020-01-06,145.5
2020-03-25,144.72999572753906
2020-06-12,142.0399932861328
2019-10-22,142.72000122070312
2020-01-09,143.0
2020-06-15,143.77999877929688
2019-10-25,142.16000366210938
2020-03-31,139.50999450683594
2020-06-18,137.99000549316406
2019-04-03,139.27000427246094
2018-08-22,141.24000549316406
2018-10-25,144.1699981689453
2019-01-29,141.99000549316406
2018-12-28,139.2899932861328
2018-11-26,136.02999877929688
2019-08-09,135.91000366210938
2019-07-08,133.1300048828125
2019-06-06,134.44000244140625
2019-09-10,133.7899932861328
2020-01-15,131.0399932861328
2020-04-03,131.36000061035156
2019-10-31,132.60000610351562
2020-04-06,132.85000610351562
2020-06-24,133.88999938964844
2018-11-09,134.60000610351562
2019-07-23,135.14999389648438
2019-06-21,134.92999267578125
2019-05-20,134.47000122070312
2019-04-18,136.67999267578125
2018-09-06,137.99000549316406
2018-10-08,137.61000061035156
2019-02-13,137.3000030517578
2018-12-11,140.38999938964844
2019-09-25,140.6300048828125
2020-01-21,140.22000122070312
2020-04-09,137.5800018310547
2019-11-06,139.07000732421875
2020-01-24,139.82000732421875
2020-01-27,141.25
2020-04-15,144.89999389648438
2018-12-26,140.6199951171875
2019-08-07,138.58999633789062
2019-06-04,137.13999938964844
2018-09-21,140.0
2018-07-19,139.75999450683594
2018-08-20,140.57000732421875
2018-10-23,143.49000549316406
2019-05-03,143.72999572753906
2019-04-01,140.61000061035156
2019-02-28,139.1999969482422
2019-11-12,139.13999938964844
2020-01-30,135.8800048828125
2019-11-15,135.5800018310547
2020-04-21,132.2100067138672
2019-04-16,129.86000061035156
2019-03-15,131.66000366210938
2019-02-11,131.77000427246094
2019-01-10,130.0500030517578
2019-08-22,130.0
2018-11-07,132.69000244140625
2018-08-03,132.49000549316406
2018-09-04,129.17999267578125
2019-06-19,127.55999755859375
2019-09-23,125.95999908447266
2019-11-18,122.86000061035156
2020-02-05,121.36000061035156
2020-04-24,118.27999877929688
2019-03-29,118.87000274658203
2019-11-21,126.05999755859375
2020-04-27,126.81999969482422
2020-02-11,129.0500030517578
2020-04-30,129.32000732421875
2019-05-01,131.69000244140625
2019-02-26,132.13999938964844
2019-01-25,131.57000732421875
2018-12-24,135.13999938964844
2019-09-06,137.1699981689453
2018-07-17,138.77000427246094
2018-09-19,142.4600067138672
2019-08-05,142.47000122070312
2019-10-08,144.11000061035156
2019-12-11,142.1199951171875
2019-11-27,142.24000549316406
2020-02-14,141.1699981689453
2020-05-06,141.25
2019-01-08,142.83999633789062
2018-12-07,144.3800048828125
2019-08-20,147.86000061035156
2018-11-05,145.0
2019-07-19,146.30999755859375
2018-10-04,145.9499969482422
2019-06-17,144.8300018310547
2019-05-16,143.91000366210938
2018-08-01,144.39999389648438
2019-03-13,142.74000549316406
2019-12-03,146.85000610351562
2020-02-20,146.4199981689453
2019-12-06,148.69000244140625
2020-05-12,150.6999969482422
2019-12-09,151.39999389648438
2020-02-26,151.39999389648438
2020-05-15,149.61000061035156
2019-03-28,152.5
2018-09-17,147.3800048828125
2018-08-16,149.0
2018-10-19,149.07000732421875
2019-04-29,150.0800018310547
2019-01-23,150.77000427246094
2019-09-04,151.1300048828125
2018-11-20,146.82000732421875
2019-07-02,139.39999389648438
2019-05-31,133.52999877929688
2019-12-12,136.49000549316406
2020-05-18,138.9499969482422
2019-09-27,142.19000244140625
2020-03-03,141.63999938964844
2020-05-21,137.42999267578125
2019-05-14,140.75
