Dates,WRK
2018-06-20,1215800.0
2018-06-21,1687400.0
2018-06-25,2834500.0
2018-06-22,1485400.0
2018-06-26,1302400.0
2018-06-27,1213600.0
2018-06-28,1158000.0
2018-06-29,1654000.0
2018-07-02,1337800.0
2018-07-03,1045900.0
2018-07-05,1425200.0
2018-07-16,1286900.0
2018-09-18,1562000.0
2019-01-24,1057800.0
2019-09-05,1072900.0
2018-11-21,979200.0
2020-01-13,861600.0
2020-04-01,907600.0
2020-06-19,1239600.0
2019-10-29,863900.0
2020-01-16,815500.0
2020-06-22,999900.0
2018-10-03,1072900.0
2018-07-31,1386900.0
2019-03-12,1554700.0
2019-02-08,2543100.0
2019-01-07,2592200.0
2018-12-06,2543000.0
2019-08-19,3149500.0
2019-07-18,1312300.0
2019-05-15,4968100.0
2019-09-20,3123000.0
2019-11-01,2527400.0
2020-04-07,1866100.0
2020-06-25,2149900.0
2020-06-16,1199900.0
2019-11-04,1469500.0
2020-01-22,1948000.0
2019-11-07,2821200.0
2020-04-13,1555900.0
2019-07-01,904300.0
2019-05-30,1143600.0
2018-08-15,1228300.0
2018-10-18,1914200.0
2019-03-27,1562700.0
2019-01-22,2136700.0
2018-12-21,1689700.0
2019-09-03,860100.0
2018-11-19,1320700.0
2019-08-02,1035900.0
2020-01-28,1933600.0
2020-04-16,2570900.0
2019-11-13,1674300.0
2020-01-31,3077500.0
2018-12-04,1409900.0
2018-11-02,1282600.0
2019-07-16,1099500.0
2018-08-30,1201900.0
2018-10-01,919400.0
2019-06-14,1073200.0
2019-05-13,1726600.0
2019-04-11,1204000.0
2019-02-06,1163300.0
2019-09-18,1402500.0
2020-02-03,1272000.0
2020-04-22,2397300.0
2019-11-19,1514300.0
2020-02-06,1482100.0
2019-11-22,1511300.0
2019-03-25,1384400.0
2019-02-21,1786500.0
2018-12-19,1480300.0
2018-07-12,1733900.0
2018-09-14,2027100.0
2018-08-13,2059700.0
2018-10-16,2613400.0
2019-07-31,2783200.0
2019-05-28,6042700.0
2019-04-26,3333200.0
2020-04-28,3643900.0
2019-11-25,3459200.0
2020-02-12,2053600.0
2020-05-01,2036700.0
2020-05-04,1453700.0
2019-06-12,2934200.0
2019-04-09,1663300.0
2019-03-08,5558300.0
2019-02-04,3808800.0
2018-07-27,2974300.0
2018-08-28,2582600.0
2019-01-03,3404400.0
2019-08-15,2381700.0
2018-10-31,3565400.0
2019-09-16,3007400.0
2020-02-18,2713400.0
2020-05-07,2620700.0
2018-08-17,3431700.0
2019-12-04,2889300.0
2020-02-21,2158800.0
2018-12-17,1989200.0
2019-08-30,1412200.0
2018-11-15,1648800.0
2019-07-29,1883700.0
2019-06-27,2205800.0
2019-04-24,2625500.0
2018-07-10,2245600.0
2018-09-12,2319400.0
2019-02-19,2125200.0
2019-01-18,2438200.0
2020-02-24,901900.0
2020-05-13,2090300.0
2019-12-10,2149500.0
2020-02-27,2440400.0
2019-12-13,1919600.0
2020-05-19,2647600.0
2019-03-06,2010900.0
2018-11-30,3232700.0
2019-08-13,2577900.0
2019-07-12,2392400.0
2019-06-10,2301600.0
2019-05-09,1831800.0
2018-07-25,1929300.0
2018-09-27,1653200.0
2018-10-29,3156300.0
2019-10-16,5093500.0
2019-12-16,3415300.0
2020-03-04,2097500.0
2020-05-22,2796300.0
2019-10-01,5166400.0
2019-12-19,1699100.0
2018-09-10,2304800.0
2019-05-24,2239300.0
2018-08-09,2116300.0
2019-04-22,2307100.0
2019-03-21,2427400.0
2019-01-16,2272700.0
2019-08-28,2011200.0
2018-11-13,2543300.0
2018-10-12,2605400.0
2019-06-25,3555400.0
2020-03-10,5582700.0
2020-05-28,3177700.0
2019-10-07,2265100.0
2020-03-13,2083600.0
2019-10-10,2548300.0
2020-03-16,4598300.0
2020-06-03,3221900.0
2018-11-28,3291900.0
2018-09-25,2034500.0
2018-07-23,1846800.0
2018-08-24,2909600.0
2019-07-10,2330500.0
2019-05-07,2264500.0
2019-04-05,2301000.0
2019-03-04,4420400.0
2019-01-31,3897200.0
2019-09-12,2889800.0
2019-12-31,4030300.0
2020-03-19,3645000.0
2020-01-03,3305300.0
2020-06-09,2557700.0
2019-02-15,2705800.0
2019-01-14,2590700.0
2018-07-06,2578300.0
2018-08-07,1981800.0
2018-10-10,2351600.0
2018-12-13,2265600.0
2019-08-26,3156600.0
2019-07-25,2486100.0
2019-05-22,2036300.0
2019-03-19,2510000.0
2020-01-06,2317800.0
2020-03-25,2143100.0
2020-06-12,4497500.0
2019-10-22,2616400.0
2020-01-09,2539800.0
2020-06-15,2246300.0
2019-10-25,2267900.0
2020-03-31,2125500.0
2020-06-18,2272900.0
2019-04-03,3081600.0
2018-08-22,3056900.0
2018-10-25,2846400.0
2019-01-29,2695600.0
2018-12-28,8647300.0
2018-11-26,3576700.0
2019-08-09,2587700.0
2019-07-08,2278200.0
2019-06-06,2804100.0
2019-09-10,2666000.0
2020-01-15,2576400.0
2020-04-03,2121200.0
2019-10-31,3282900.0
2020-04-06,2503600.0
2020-06-24,2074900.0
2018-11-09,2569700.0
2019-07-23,1942900.0
2019-06-21,2377300.0
2019-05-20,2361200.0
2019-04-18,2311900.0
2018-09-06,1694200.0
2018-10-08,2159600.0
2019-02-13,1633000.0
2018-12-11,1707600.0
2019-09-25,1752800.0
2020-01-21,2639000.0
2020-04-09,7141100.0
2019-11-06,3421100.0
2020-01-24,2497800.0
2020-01-27,2465700.0
2020-04-15,3181400.0
2018-12-26,2288100.0
2019-08-07,2435100.0
2019-06-04,1798700.0
2018-09-21,3588900.0
2018-07-19,5137400.0
2018-08-20,2192100.0
2018-10-23,1924500.0
2019-05-03,2089800.0
2019-04-01,1724200.0
2019-02-28,1869600.0
2019-11-12,1857300.0
2020-01-30,2183600.0
2019-11-15,1451000.0
2020-04-21,1739100.0
2019-04-16,2595500.0
2019-03-15,2188400.0
2019-02-11,1565200.0
2019-01-10,1381800.0
2019-08-22,2530800.0
2018-11-07,1780200.0
2018-08-03,2003300.0
2018-09-04,1973500.0
2019-06-19,1260900.0
2019-09-23,1957400.0
2019-11-18,2088000.0
2020-02-05,1530900.0
2020-04-24,2128300.0
2019-03-29,3078400.0
2019-11-21,2857600.0
2020-04-27,2788200.0
2020-02-11,3263100.0
2020-04-30,1739500.0
2019-05-01,3021100.0
2019-02-26,1470000.0
2019-01-25,1048500.0
2018-12-24,1200000.0
2019-09-06,1651400.0
2018-07-17,2062600.0
2018-09-19,1499900.0
2019-08-05,1669800.0
2019-10-08,2030300.0
2019-12-11,3233800.0
2019-11-27,2281700.0
2020-02-14,2078500.0
2020-05-06,1853200.0
2019-01-08,2097100.0
2018-12-07,2758600.0
2019-08-20,2905200.0
2018-11-05,1951500.0
2019-07-19,1025400.0
2018-10-04,1600800.0
2019-06-17,1684000.0
2019-05-16,1625000.0
2018-08-01,1346400.0
2019-03-13,2902300.0
2019-12-03,1507000.0
2020-02-20,2605300.0
2019-12-06,1971300.0
2020-05-12,2467100.0
2019-12-09,2519300.0
2020-02-26,2279900.0
2020-05-15,1791800.0
2019-03-28,2374900.0
2018-09-17,2612700.0
2018-08-16,1841800.0
2018-10-19,1801900.0
2019-04-29,1243100.0
2019-01-23,1483200.0
2019-09-04,2751700.0
2018-11-20,3960200.0
2019-07-02,1733200.0
2019-05-31,2969100.0
2019-12-12,1982500.0
2020-05-18,2115600.0
2019-09-27,2271700.0
2020-03-03,1711200.0
2020-05-21,1951400.0
2019-05-14,1932600.0
2018-08-31,3739000.0
2018-07-30,3618700.0
2018-10-02,2921000.0
2019-04-12,1806300.0
2019-03-11,1610800.0
2019-02-07,1218900.0
2019-07-17,1457500.0
2019-09-19,2845600.0
2019-10-21,1824900.0
2019-12-18,1676500.0
2020-03-06,2480100.0
2019-10-03,1630100.0
2020-03-09,1863600.0
2020-05-27,2073900.0
2019-12-24,1723200.0
2020-03-12,2385600.0
2018-12-20,1899400.0
2019-08-01,2092800.0
2018-08-14,3171300.0
2018-07-13,3483400.0
2018-10-17,2431800.0
2019-05-29,2930200.0
2019-03-26,3024900.0
2019-02-22,2402300.0
2019-10-04,2448200.0
2019-11-05,2611100.0
2019-12-27,4488500.0
2020-06-02,2365100.0
2019-12-30,2175000.0
2020-03-18,1725200.0
2020-06-05,1597900.0
2019-07-15,1308800.0
2018-12-03,2189300.0
2019-06-13,2370100.0
2019-01-04,2563200.0
2018-08-29,2251500.0
2019-02-05,2605800.0
2018-11-01,2486200.0
2019-08-16,2873900.0
2019-04-10,2666100.0
2019-09-17,3573700.0
2019-10-15,3197700.0
2020-01-02,1558800.0
2020-06-08,1458700.0
2019-10-18,2409500.0
2020-03-24,1613500.0
2020-06-11,1817400.0
2020-01-08,1367100.0
2019-04-25,1532200.0
2019-07-30,2061600.0
2019-02-20,1795800.0
2018-07-11,1150300.0
2018-09-13,1064600.0
2018-10-15,1067500.0
2019-06-28,1314000.0
2018-12-18,1985600.0
2018-11-16,1948400.0
2019-10-02,1778500.0
2020-03-27,2229600.0
2020-01-10,2553100.0
2019-10-24,4026500.0
2020-03-30,2016900.0
2020-06-17,1539800.0
2020-01-14,4574300.0
2020-04-02,3161700.0
2019-01-02,2543800.0
2019-08-14,4356800.0
2018-10-30,4783800.0
2019-06-11,2942400.0
2019-05-10,3488200.0
2019-04-08,1818400.0
2018-08-27,5024800.0
2018-07-26,3602100.0
2018-09-28,2824400.0
2019-03-07,3457200.0
2019-10-30,1648800.0
2020-01-17,2445300.0
2020-06-23,2610800.0
2020-04-08,2527100.0
2020-06-26,1479500.0
2019-03-22,2570200.0
2019-01-17,1735700.0
2019-08-29,1383200.0
2018-11-14,1714900.0
2019-06-26,1807600.0
2018-09-11,2055500.0
2018-07-09,2373800.0
2018-08-10,2061200.0
2019-04-23,1977400.0
2019-09-30,2043500.0
2020-01-23,4484200.0
2019-11-08,2445600.0
2020-04-14,970400.0
2019-11-11,794600.0
2020-01-29,1165000.0
2020-04-17,728300.0
2018-07-24,1158400.0
2018-09-26,4633600.0
2019-05-08,3544100.0
2019-03-05,3879300.0
2019-02-01,4693800.0
2018-12-31,3156400.0
2018-11-29,2742100.0
2019-08-12,1819900.0
2019-07-11,1480500.0
2019-09-13,2742200.0
2019-11-14,1732500.0
2020-04-20,3353800.0
2020-02-04,2125000.0
2020-04-23,3555800.0
2018-12-14,2452600.0
2019-08-27,2601200.0
2018-08-08,1393700.0
2018-10-11,1632000.0
2018-11-12,1526800.0
2019-07-26,1695700.0
2019-06-24,3556800.0
2019-05-23,2797600.0
2019-03-20,2805200.0
2019-01-15,2271600.0
2019-11-20,3107900.0
2020-02-07,2874000.0
2020-02-10,2678200.0
2020-04-29,1102600.0
2019-11-26,1639900.0
2020-02-13,2102700.0
2019-01-30,2035400.0
2018-08-23,1268400.0
2018-09-24,3041300.0
2018-11-27,1261100.0
2018-10-26,1988600.0
2019-07-09,2136400.0
2019-06-07,2997000.0
2019-05-06,2963700.0
2019-04-04,3857500.0
2019-09-11,5573400.0
2019-11-29,5370500.0
2020-05-05,3966100.0
2019-12-02,3677200.0
2020-02-19,2884000.0
2020-05-08,3364000.0
2019-05-21,3559100.0
2019-03-18,5020400.0
2018-09-07,3694400.0
2018-08-06,4094500.0
