Dates,ZBH
2018-06-20,856300.0
2018-06-21,640100.0
2018-06-25,1611700.0
2018-06-22,923500.0
2018-06-26,1201600.0
2018-06-27,2129900.0
2018-06-28,854500.0
2018-06-29,916600.0
2018-07-02,769900.0
2018-07-03,519200.0
2018-07-05,688300.0
2018-07-16,930300.0
2018-09-18,578000.0
2019-01-24,399300.0
2019-09-05,433100.0
2018-11-21,609400.0
2020-01-13,697800.0
2020-04-01,716500.0
2020-06-19,851900.0
2019-10-29,1002100.0
2020-01-16,932000.0
2020-06-22,825100.0
2018-10-03,1158900.0
2018-07-31,1224600.0
2019-03-12,1235100.0
2019-02-08,1606900.0
2019-01-07,3640400.0
2018-12-06,2060300.0
2019-08-19,1936600.0
2019-07-18,1579600.0
2019-05-15,1350600.0
2019-09-20,1505900.0
2019-11-01,759700.0
2020-04-07,572200.0
2020-06-25,827900.0
2020-06-16,550800.0
2019-11-04,681500.0
2020-01-22,1076100.0
2019-11-07,492800.0
2020-04-13,839800.0
2019-07-01,690400.0
2019-05-30,787800.0
2018-08-15,702400.0
2018-10-18,840800.0
2019-03-27,470600.0
2019-01-22,515000.0
2018-12-21,1039900.0
2019-09-03,1978500.0
2018-11-19,1161700.0
2019-08-02,744900.0
2020-01-28,1402900.0
2020-04-16,723700.0
2019-11-13,1171000.0
2020-01-31,821700.0
2018-12-04,688700.0
2018-11-02,661700.0
2019-07-16,682700.0
2018-08-30,816200.0
2018-10-01,1643400.0
2019-06-14,2444500.0
2019-05-13,1059100.0
2019-04-11,1142000.0
2019-02-06,871100.0
2019-09-18,625400.0
2020-02-03,959100.0
2020-04-22,1569600.0
2019-11-19,649100.0
2020-02-06,1043500.0
2019-11-22,954200.0
2019-03-25,1027900.0
2019-02-21,1055100.0
2018-12-19,793600.0
2018-07-12,650000.0
2018-09-14,732400.0
2018-08-13,802200.0
2018-10-16,743700.0
2019-07-31,917500.0
2019-05-28,831100.0
2019-04-26,1288000.0
2020-04-28,1530400.0
2019-11-25,1452200.0
2020-02-12,1015700.0
2020-05-01,1480500.0
2020-05-04,957200.0
2019-06-12,1026100.0
2019-04-09,930200.0
2019-03-08,1014300.0
2019-02-04,1362000.0
2018-07-27,1145700.0
2018-08-28,1315600.0
2019-01-03,3261200.0
2019-08-15,1316100.0
2018-10-31,1782400.0
2019-09-16,1398400.0
2020-02-18,1707300.0
2020-05-07,1102600.0
2018-08-17,1194800.0
2019-12-04,971700.0
2020-02-21,1482400.0
2018-12-17,937800.0
2019-08-30,946400.0
2018-11-15,1166800.0
2019-07-29,1083800.0
2019-06-27,698900.0
2019-04-24,931200.0
2018-07-10,1131200.0
2018-09-12,1074300.0
2019-02-19,1157300.0
2019-01-18,705200.0
2020-02-24,268500.0
2020-05-13,602700.0
2019-12-10,804700.0
2020-02-27,2371100.0
2019-12-13,936500.0
2020-05-19,1256100.0
2019-03-06,1539000.0
2018-11-30,1618900.0
2019-08-13,1477700.0
2019-07-12,1044600.0
2019-06-10,811000.0
2019-05-09,1861000.0
2018-07-25,2531800.0
2018-09-27,1059100.0
2018-10-29,1024300.0
2019-10-16,1497600.0
2019-12-16,2039400.0
2020-03-04,1934200.0
2020-05-22,1783900.0
2019-10-01,3067100.0
2019-12-19,931600.0
2018-09-10,1619200.0
2019-05-24,1578900.0
2018-08-09,1860000.0
2019-04-22,1389700.0
2019-03-21,1152100.0
2019-01-16,1166100.0
2019-08-28,1580400.0
2018-11-13,900300.0
2018-10-12,3259000.0
2019-06-25,1513300.0
2020-03-10,1485200.0
2020-05-28,938800.0
2019-10-07,1271100.0
2020-03-13,1037000.0
2019-10-10,959600.0
2020-03-16,1244000.0
2020-06-03,2101200.0
2018-11-28,1252800.0
2018-09-25,887900.0
2018-07-23,764400.0
2018-08-24,1151600.0
2019-07-10,974500.0
2019-05-07,961700.0
2019-04-05,1076600.0
2019-03-04,1303500.0
2019-01-31,2744500.0
2019-09-12,2140200.0
2019-12-31,1583100.0
2020-03-19,966600.0
2020-01-03,1985000.0
2020-06-09,1318200.0
2019-02-15,2094200.0
2019-01-14,2036700.0
2018-07-06,981400.0
2018-08-07,839800.0
2018-10-10,1212500.0
2018-12-13,1106400.0
2019-08-26,912800.0
2019-07-25,846300.0
2019-05-22,819900.0
2019-03-19,912800.0
2020-01-06,1059300.0
2020-03-25,946900.0
2020-06-12,1093000.0
2019-10-22,1254200.0
2020-01-09,770700.0
2020-06-15,1037100.0
2019-10-25,844700.0
2020-03-31,1047900.0
2020-06-18,881200.0
2019-04-03,1442700.0
2018-08-22,1258100.0
2018-10-25,972400.0
2019-01-29,1316200.0
2018-12-28,2429200.0
2018-11-26,1272600.0
2019-08-09,1228200.0
2019-07-08,1987700.0
2019-06-06,1401600.0
2019-09-10,1195100.0
2020-01-15,966600.0
2020-04-03,808700.0
2019-10-31,1145800.0
2020-04-06,1736000.0
2020-06-24,1156300.0
2018-11-09,799300.0
2019-07-23,891600.0
2019-06-21,1897400.0
2019-05-20,817000.0
2019-04-18,794300.0
2018-09-06,1260500.0
2018-10-08,1183800.0
2019-02-13,896800.0
2018-12-11,878900.0
2019-09-25,999800.0
2020-01-21,857300.0
2020-04-09,920400.0
2019-11-06,2338100.0
2020-01-24,1423100.0
2020-01-27,1534800.0
2020-04-15,1287600.0
2018-12-26,1230100.0
2019-08-07,1442700.0
