Dates,AA
2007-02-12,3381200.0
2007-02-13,18123900.0
2007-02-15,4976900.0
2007-02-14,4981300.0
2007-02-16,2381700.0
2007-02-20,2559100.0
2007-02-21,2479600.0
2007-02-22,3271000.0
2007-02-23,2892100.0
2007-02-26,3159000.0
2007-02-27,6139900.0
2007-03-28,9465500.0
2007-11-07,6540500.0
2007-09-04,3494300.0
2007-08-03,5397000.0
2008-04-15,3477200.0
2008-05-21,3349300.0
2008-08-08,3039800.0
2008-08-11,3783600.0
2008-01-25,3334700.0
2007-05-14,4199500.0
2007-04-12,4359000.0
2007-12-24,5604200.0
2007-09-19,4875900.0
2008-04-30,3502100.0
2007-07-17,2775500.0
2007-06-15,5413600.0
2008-02-26,2782000.0
2008-05-27,3140300.0
2008-08-14,3004700.0
2008-05-30,2347400.0
2008-08-20,3456400.0
2007-08-01,3459600.0
2008-03-12,2577200.0
2007-03-26,2663500.0
2007-05-29,3898000.0
2007-04-27,2350900.0
2008-01-08,2898300.0
2007-12-07,2938700.0
2007-11-05,4241100.0
2007-10-04,6970500.0
2008-05-15,5701400.0
2008-06-05,3140300.0
2008-08-26,3189100.0
2007-10-19,2580200.0
2007-09-17,2348300.0
2007-08-16,2601700.0
2008-04-28,4292300.0
2007-04-10,2631800.0
2007-03-09,3470900.0
2007-06-13,10692000.0
2008-03-27,5050600.0
2008-01-23,2721900.0
2007-11-20,3882700.0
2008-06-11,9900200.0
2008-08-29,3579100.0
2007-12-05,2679200.0
2007-10-02,3808100.0
2007-04-25,31094000.0
2007-08-31,16217800.0
2007-07-30,9758400.0
2008-04-11,6486200.0
2007-06-28,5398500.0
2008-03-10,5086300.0
2008-02-07,4666600.0
2008-05-13,3094000.0
2008-06-23,2562400.0
2007-07-13,4510800.0
2008-03-25,3342500.0
2008-02-22,2531200.0
2007-12-20,8729200.0
2007-05-10,5741000.0
2007-03-07,3881500.0
2007-06-11,3446800.0
2007-10-17,4962000.0
2007-08-14,5195100.0
2008-05-28,3590800.0
2008-06-26,2806200.0
2007-05-31,3410100.0
2008-07-02,4119300.0
2007-08-29,4867600.0
