Dates,C
2007-02-12,534.2999877929688
2007-02-13,537.0999755859375
2007-02-15,541.7999877929688
2007-02-14,542.0999755859375
2007-02-16,541.0
2007-02-20,541.9000244140625
2007-02-21,537.5
2007-02-22,535.9000244140625
2007-02-23,537.7000122070312
2007-02-26,526.7999877929688
2007-02-27,506.0
2007-03-28,503.70001220703125
2007-11-07,510.79998779296875
2007-09-04,499.70001220703125
2007-08-03,492.5
2008-04-15,505.79998779296875
2008-05-21,502.20001220703125
2008-08-08,505.0
2008-08-11,503.29998779296875
2008-01-25,503.6000061035156
2007-05-14,487.5
2007-04-12,490.79998779296875
2007-12-24,501.29998779296875
2007-09-19,495.29998779296875
2008-04-30,500.6000061035156
2007-07-17,506.3999938964844
2007-06-15,520.2999877929688
2008-02-26,518.4000244140625
2008-05-27,517.2000122070312
2008-08-14,515.4000244140625
2008-05-30,510.6000061035156
2008-08-20,509.6000061035156
2007-08-01,514.0
2008-03-12,513.4000244140625
2007-03-26,510.5
2007-05-29,514.0999755859375
2007-04-27,513.5999755859375
2008-01-08,515.7000122070312
2007-12-07,515.7999877929688
2007-11-05,524.0
2007-10-04,518.0
2008-05-15,516.5
2008-06-05,516.0
2008-08-26,529.2999877929688
2007-10-19,525.2999877929688
2007-09-17,529.9000244140625
2007-08-16,530.9000244140625
2008-04-28,534.2000122070312
2007-04-10,531.0999755859375
2007-03-09,528.0999755859375
2007-06-13,538.0
2008-03-27,535.5999755859375
2008-01-23,533.7000122070312
2007-11-20,536.2000122070312
2008-06-11,542.0
2008-08-29,543.0
2007-12-05,539.5
2007-10-02,540.9000244140625
2007-04-25,538.7999877929688
2007-08-31,537.2000122070312
2007-07-30,541.2000122070312
2008-04-11,532.0
2007-06-28,531.0999755859375
2008-03-10,528.5999755859375
2008-02-07,527.9000244140625
2008-05-13,549.0999755859375
2008-06-23,548.0
2007-07-13,550.0
2008-03-25,548.4000244140625
2008-02-22,550.7999877929688
2007-12-20,550.0999755859375
2007-05-10,549.2999877929688
2007-03-07,551.2000122070312
2007-06-11,549.0999755859375
2007-10-17,552.0
2007-08-14,544.9000244140625
2008-05-28,545.0999755859375
2008-06-26,541.5
2007-05-31,539.0
2008-07-02,533.2999877929688
2007-08-29,525.2000122070312
2008-04-09,533.2999877929688
