Dates,AMZN,AAPL,BA,WFC
2019-01-02,7983100.0,37039700.0,3292200.0,20295200.0
2019-01-03,6975600.0,91312200.0,5705600.0,22262000.0
2019-01-07,9182600.0,58607100.0,4448800.0,23343600.0
2019-01-04,7993200.0,54777800.0,4030300.0,21858000.0
2019-01-08,8881400.0,41025300.0,4736500.0,19702900.0
2019-01-09,6348800.0,45099100.0,4213900.0,18837700.0
2019-01-10,6507700.0,35780700.0,5358100.0,16208400.0
2019-01-11,4686200.0,27023200.0,3158900.0,20006900.0
2019-01-14,6005900.0,32439200.0,2476400.0,23827600.0
2019-01-15,5998500.0,28710900.0,2940900.0,27447600.0
2019-01-16,6366900.0,30569700.0,2731100.0,32026400.0
2019-01-18,4208900.0,29821200.0,4270400.0,25738800.0
2019-01-22,6020500.0,33751000.0,4256500.0,36380300.0
2019-01-24,6416800.0,30394000.0,4336500.0,33975200.0
2019-01-28,5225200.0,23130600.0,2924900.0,16806700.0
2019-01-30,4089900.0,25441500.0,2801300.0,17862100.0
2019-02-01,4945900.0,33535500.0,3185600.0,20183400.0
2019-02-20,4837700.0,26192100.0,3128900.0,19913100.0
2019-02-27,4632800.0,41587200.0,3202700.0,11927600.0
2019-02-19,5783800.0,61109800.0,12705300.0,16885100.0
2019-02-15,10910300.0,40739600.0,6878500.0,24934700.0
2019-02-11,11506200.0,32668100.0,5625700.0,21123500.0
2019-02-26,4929100.0,31495500.0,4256600.0,17547800.0
2019-02-05,4453100.0,36101600.0,7230400.0,14784900.0
2019-02-07,3939900.0,28239600.0,5356000.0,12145700.0
2019-02-22,4626600.0,31741700.0,5211400.0,24189700.0
2019-01-17,5657500.0,23820000.0,4570900.0,20641200.0
2019-01-23,3317300.0,20993400.0,3046900.0,15995900.0
2019-01-29,4858600.0,22283500.0,3263300.0,22033000.0
2019-01-25,3560300.0,22490200.0,3078700.0,13770900.0
2019-01-31,4120500.0,21835700.0,2724300.0,16456500.0
2019-02-04,4343900.0,24626800.0,4017300.0,19346200.0
2019-02-06,3681700.0,18972800.0,3051500.0,15121700.0
2019-02-08,3337600.0,26114400.0,3990100.0,16742600.0
2019-02-12,3483400.0,17249700.0,2880500.0,16938800.0
2019-02-14,3096200.0,18913200.0,3132300.0,15848200.0
2019-03-01,3184500.0,21873400.0,3276100.0,16564100.0
2019-02-25,2665800.0,17070200.0,2503700.0,16997800.0
2019-02-21,3148800.0,27835400.0,4603800.0,17455000.0
2019-02-13,3025900.0,28215400.0,5063100.0,17786600.0
2019-02-28,4974900.0,25886200.0,5124200.0,19051400.0
